u_id,legacy_path,expected_title_from_alias,verified_title,title_source,title_token_overlap,identity_status,doi,doi_source,doi_confidence,arxiv_id,arxiv_source,arxiv_confidence
U011,research/ref-paper/is1/pdfs/11_dapfam_domain_aware_family_level_dataset_2025.pdf,dapfam domain aware family level dataset,DAPFAM: A Domain-Aware Family-level Dataset to benchmark cross-domain patent retrieval,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.ipm.2025.104169,acquisition_url,high,2506.22141,acquisition_url,high
U011,research/ref-paper/is1/dapfam-pdfs/01_a_domain_aware_family_level_dataset_to_benchmark_cross.pdf,a domain aware family level dataset to benchmark cross,DAPFAM: A Domain-Aware Family-level Dataset to benchmark cross-domain patent retrieval,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.ipm.2025.104169,acquisition_url,high,2506.22141,acquisition_url,high
U012,research/ref-paper/is1/pdfs/12_patenteb_a_comprehensive_benchmark_and_model_2025.pdf,patenteb a comprehensive benchmark and model,PatenTEB: A Comprehensive Benchmark and Model Family for Patent Text Embedding,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2510.22264,acquisition_url,high
U012,research/ref-paper/is1/dapfam-pdfs/02_a_comprehensive_benchmark_and_model_family_for_patent_text.pdf,a comprehensive benchmark and model family for patent text,PatenTEB: A Comprehensive Benchmark and Model Family for Patent Text Embedding,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2510.22264,acquisition_url,high
U013,research/ref-paper/is1/pdfs/13_patent_representation_learning_via_self_supervision_2025.pdf,patent representation learning via self supervision,Patent Representation Learning via Self-supervision,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2511.10657,acquisition_url,high
U013,research/ref-paper/shared/pdfs/42_section_based_patent_summarization_for_prior_2025.pdf,section based patent summarization for prior,Patent Representation Learning via Self-supervision,frozen_digest_verified_against_pdf,0.2000,alias_title_mismatch,,,not_detected,2511.10657,acquisition_url,high
U014,research/ref-paper/is1/pdfs/14_rethinking_patent_retrieval_with_language_models_2026.pdf,rethinking patent retrieval with language models,Rethinking patent retrieval with language models: Toward scalable and efficient search,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.wpi.2026.102433,acquisition_url,high,,,not_detected
U015,research/ref-paper/is1/pdfs/15_patent_retrieval_with_few_shot_fine_2025.pdf,patent retrieval with few shot fine,Patent Retrieval with Few-Shot Fine-Tuning and Quantized Embeddings,frozen_digest_verified_against_pdf,1.0000,verified,10.1145/3787279.3787295,acquisition_url,high,,,not_detected
U016,research/ref-paper/is1/pdfs/16_bmretriever_tuning_llms_as_better_biomedical_2024.pdf,bmretriever tuning llms as better biomedical,BMRETRIEVER: Tuning Large Language Models as Better Biomedical Text Retrievers,frozen_digest_verified_against_pdf,0.8000,verified,,,not_detected,2404.18443,acquisition_url,high
U016,research/ref-paper/shared/pdfs/10_bmretriever_tuning_llms_as_better_biomedical_2024.pdf,bmretriever tuning llms as better biomedical,BMRETRIEVER: Tuning Large Language Models as Better Biomedical Text Retrievers,frozen_digest_verified_against_pdf,0.8000,verified,,,not_detected,2404.18443,acquisition_url,high
U017,research/ref-paper/is1/pdfs/17_needle_in_a_haystack_harnessing_ai_2024.pdf,needle in a haystack harnessing ai,Needle in a haystack: Harnessing AI in drug patent searches and prediction,rendered_first_page_text,1.0000,verified,10.1371/journal.pone.0311238,acquisition_url,high,,,not_detected
U018,research/ref-paper/is1/pdfs/18_enhancing_patent_retrieval_using_text_and_2022.pdf,enhancing patent retrieval using text and,Enhancing Patent Retrieval using Text and Knowledge Graph Embeddings: A Technical Note,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2211.01976,acquisition_url,high
U019,research/ref-paper/is1/pdfs/19_patent_classification_by_fine_tuning_bert_2019.pdf,patent classification by fine tuning bert,PatentBERT: Patent Classification by Fine-Tuning BERT Language Model,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,1906.02124,acquisition_url,high
U020,research/ref-paper/is1/pdfs/20_zero_shot_hybrid_retrieval_and_reranking_2022.pdf,zero shot hybrid retrieval and reranking,Zero-shot Hybrid Retrieval and Reranking Models for Biomedical Literature,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U021,research/ref-paper/is1/pdfs/21_patcid_chemical_structure_database_from_patent_2024.pdf,patcid chemical structure database from patent,PatCID: an open-access dataset of chemical structures in patent documents,frozen_digest_verified_against_pdf,0.6000,verified,10.1038/s41467-024-50779-y,acquisition_url,high,,,not_detected
U022,research/ref-paper/is1/pdfs/22_enhancing_patent_retrieval_using_automated_patent_2022.pdf,enhancing patent retrieval using automated patent,Enhancing patent retrieval using automated patent summarization,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U023,research/ref-paper/is1/pdfs/23_llm_powered_real_time_patent_citation_2026.pdf,llm powered real time patent citation,LLM-powered Real-time Patent Citation Recommendation for Financial Technologies,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2601.16775,acquisition_url,high
U024,research/ref-paper/is1/pdfs/24_evopat_multi_llm_based_patent_summarization_2024.pdf,evopat multi llm based patent summarization,EvoPat: A Multi-LLM-Based Patents Summarization and Analysis Agent,frozen_digest_verified_against_pdf,0.8333,verified,,,not_detected,2412.18100,acquisition_url,high
U025,research/ref-paper/is1/pdfs/25_deep_learning_for_patent_landscaping_using_2022.pdf,deep learning for patent landscaping using,Deep learning for patent landscaping using transformer and graph embedding,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.techfore.2021.121481,acquisition_url,high,,,not_detected
U026,research/ref-paper/is1/pdfs/26_biocpt_contrastive_pre_trained_transformers_for_2023.pdf,biocpt contrastive pre trained transformers for,MedCPT: Contrastive Pre-trained Transformers with Large-scale PubMed Search Logs for Zero-shot Biomedical Information Retrieval,frozen_digest_verified_against_pdf,0.8000,verified,,,not_detected,2307.00589,acquisition_url,high
U027,research/ref-paper/is1/pdfs/27_graph_transformer_for_efficient_patent_search_2025.pdf,graph transformer for efficient patent search,Efficient Patent Searching Using Graph Transformers,frozen_digest_verified_against_pdf,0.6000,verified,,,not_detected,2508.10496,acquisition_url,high
U027,research/ref-paper/is1/pdfs/35_efficient_graph_transformer_patent_search_iprally_2025.pdf,efficient graph transformer patent search iprally,Efficient Patent Searching Using Graph Transformers,frozen_digest_verified_against_pdf,0.5000,verified_with_title_variation,,,not_detected,2508.10496,acquisition_url,high
U028,research/ref-paper/is1/pdfs/28_contrastive_learning_enhanced_retrieval_augmented_few_2026.pdf,contrastive learning enhanced retrieval augmented few,Contrastive learning enhanced retrieval-augmented few-shot framework for multi-label patent classification,frozen_digest_verified_against_pdf,1.0000,verified,10.1371/journal.pone.0341118,acquisition_url,high,,,not_detected
U029,research/ref-paper/is1/pdfs/29_clef_ip_2011_retrieval_in_the_2011.pdf,clef ip 2011 retrieval in the,CLEF-IP 2011: Retrieval in the Intellectual Property Domain,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U030,research/ref-paper/is1/pdfs/30_clef_ip_2012_retrieval_experiments_in_2012.pdf,clef ip 2012 retrieval experiments in,CLEF-IP 2012: Retrieval Experiments in the Intellectual Property Domain,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U031,research/ref-paper/is1/pdfs/31_report_on_clef_ip_2011_exploring_2011.pdf,report on clef ip 2011 exploring,Report on the CLEF-IP 2011 Experiments: Exploring Patent Summarization,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U032,research/ref-paper/is1/pdfs/32_a_comparative_analysis_of_embedding_models_2024.pdf,a comparative analysis of embedding models,A comparative analysis of embedding models for patent similarity,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2403.16630,acquisition_url,high
U033,research/ref-paper/is1/pdfs/33_a_survey_on_automated_and_ai_2026.pdf,a survey on automated and ai,A survey on automated and AI-based tools for patent retrieval with a special focus on the life sciences domain,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.wpi.2026.102439,acquisition_url,high,,,not_detected
U034,research/ref-paper/is1/pdfs/34_a_survey_on_patent_analysis_from_2024.pdf,a survey on patent analysis from,A Survey on Patent Analysis: From NLP to Multimodal AI,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2404.08668,acquisition_url,high
U034,research/ref-paper/shared/pdfs/30_a_survey_on_patent_analysis_from_2024.pdf,a survey on patent analysis from,A Survey on Patent Analysis: From NLP to Multimodal AI,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,2404.08668,acquisition_url,high
U035,research/ref-paper/is1/pdfs/36_beir_heterogeneous_benchmark_for_zero_shot_2021.pdf,beir heterogeneous benchmark for zero shot,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U036,research/ref-paper/is1/pdfs/37_patexpert_ai_orchestrated_multi_agent_patent_2024.pdf,patexpert ai orchestrated multi agent patent,Towards Automated Patent Workflows: AI-Orchestrated Multi-Agent Framework for Intellectual Property Management and Analysis (PatExpert),frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U037,research/ref-paper/is1/pdfs/38_colbertv2_effective_and_efficient_retrieval_via_2022.pdf,colbertv2 effective and efficient retrieval via,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,frozen_digest_verified_against_pdf,1.0000,verified,,,not_detected,,,not_detected
U038,research/ref-paper/is1/pdfs/39_h_protorag_hierarchical_prototype_based_retrieval_2026.pdf,h protorag hierarchical prototype based retrieval,H-ProtoRAG: A hierarchical prototype-based retrieval-augmented framework for multilingual CPC patent classification and prior-art retrieval,frozen_digest_verified_against_pdf,1.0000,verified,10.1016/j.ipm.2026.104861,acquisition_url,high,,,not_detected
U039,research/ref-paper/is1/pdfs/40_full_recall_semantic_search_based_ranking_2025.pdf,full recall semantic search based ranking,FullRecall: A Semantic Search-Based Ranking Approach for Maximizing Recall in Patent Retrieval,frozen_digest_verified_against_pdf,0.8333,verified,,,not_detected,2507.14946,acquisition_url,high
U040,research/ref-paper/is1/pdfs/41_mining_patents_with_llms_chemical_function_2024.pdf,mining patents with llms chemical function,Mining patents with large language models elucidates the chemical function landscape,frozen_digest_verified_against_pdf,0.8000,verified,10.1039/d4dd00011k,pdf_metadata,high,,,not_detected
U041,research/ref-paper/is1/pdfs/42_natural_language_processing_tools_for_pharmaceutical_2025.pdf,natural language processing tools for pharmaceutical,Natural Language Processing (NLP) tools for Pharmaceutical Manufacturing Information Extraction from Patents,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2504.20598,acquisition_url,high
U041,research/ref-paper/shared/pdfs/19_nlp_tools_for_pharmaceutical_manufacturing_information_2025.pdf,nlp tools for pharmaceutical manufacturing information,Natural Language Processing (NLP) tools for Pharmaceutical Manufacturing Information Extraction from Patents,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2504.20598,acquisition_url,high
U042,research/ref-paper/is1/pdfs/43_toward_knowledge_based_system_for_african_2022.pdf,toward knowledge based system for african,Toward Knowledge-Based System for African Traditional Herbal Medicine using NLP,acquisition_metadata_verified_in_pdf,1.0000,verified,10.3389/frai.2022.856705/pdf,acquisition_url,high,,,not_detected
U043,research/ref-paper/is1/pdfs/44_patentsemtech_2024_improving_patent_classification_using_2024.pdf,patentsemtech 2024 improving patent classification using,PatentSemTech 2024: Improving Patent Classification using AI-Generated Summaries,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,,,not_detected
U044,research/ref-paper/is1/pdfs/45_closed_frontier_models_for_patent_prior_art_2024.pdf,closed frontier models for patent prior art,ChatGPT vs. Google Gemini: Assessing AI Frontiers for Patent Prior Art Search Using European Search Reports,first_page_text,0.5000,verified_with_title_variation,,,not_detected,,,not_detected
U045,research/ref-paper/is1/pdfs/46_intermediate_domain_alignment_for_patent_product_2024.pdf,intermediate domain alignment for patent product,Intermediate Domain Alignment for Patent-Product Image Retrieval (IDAMA),acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,,,not_detected
U046,research/ref-paper/is1/pdfs/47_large_language_model_informed_patent_image_2024.pdf,large language model informed patent image,Large Language Model Informed Patent Image Retrieval (Multimodal Distribution-Aware),acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2405.01775,acquisition_url,high
U047,research/ref-paper/is1/pdfs/48_prior_art_retrieval_using_patent_sections_2010.pdf,prior art retrieval using patent sections,Prior Art Retrieval using Patent Sections (CLEF-IP 2010 – Dhondt et al.),acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,,,not_detected
U048,research/ref-paper/is1/pdfs/49_hierarchical_multi_positive_contrastive_learning_for_2025.pdf,hierarchical multi positive contrastive learning for,Hierarchical Multi-Positive Contrastive Learning for Patent Image Retrieval (DeepPatent2),acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2506.13496,acquisition_url,high
U049,research/ref-paper/is1/pdfs/50_citation_driven_multi_view_training_for_2026.pdf,citation driven multi view training for,Citation-Driven Multi-View Training for Patent Embeddings: QaECTER and Sophia-Bench,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2604.22897,acquisition_url,high
U049,research/ref-paper/is1/dapfam-pdfs/03_citation_driven_multi_view_training_for_patent.pdf,citation driven multi view training for patent,Citation-Driven Multi-View Training for Patent Embeddings: QaECTER and Sophia-Bench,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2604.22897,acquisition_url,high
U050,research/ref-paper/is1/pdfs/51_patent_language_model_pretraining_with_modernbert_2025.pdf,patent language model pretraining with modernbert,Patent Language Model Pretraining with ModernBERT,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2509.14926,acquisition_url,high
U051,research/ref-paper/is1/pdfs/52_towards_efficient_patent_analysis_a_large_2026.pdf,towards efficient patent analysis a large,Towards efficient patent analysis: A large language model and BERT-refined methodology for keyphrase extraction,acquisition_metadata_verified_in_pdf,1.0000,verified,10.1016/j.wpi.2026.102435,acquisition_url,high,,,not_detected
U052,research/ref-paper/is1/pdfs/53_standard_applicability_judgment_and_cross_jurisdictional_2025.pdf,standard applicability judgment and cross jurisdictional,Standard Applicability Judgment and Cross-jurisdictional Reasoning: A RAG-based Framework for Medical Device Compliance,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2506.18511,acquisition_url,high
U053,research/ref-paper/is1/pdfs/54_intelligent_chinese_patent_medicine_recommendation_framework_2025.pdf,intelligent chinese patent medicine recommendation framework,"Intelligent Chinese patent medicine (CPM) recommendation framework: Integrating large language models, retrieval-augmented generation, and the largest CPM dataset",acquisition_metadata_verified_in_pdf,1.0000,verified,10.1016/j.phrs.2025.107883,acquisition_url,high,,,not_detected
U054,research/ref-paper/is1/pdfs/55_research_on_the_global_patent_trend_2023.pdf,research on the global patent trend,Research on the Global Patent Trend of Artificial Intelligence Medical Device,acquisition_metadata_verified_in_pdf,1.0000,verified,10.2991/978-94-6463-010-7_18,acquisition_url,high,,,not_detected
U055,research/ref-paper/is1/pdfs/56_improving_retrieval_augmented_generation_in_medicine_2024.pdf,improving retrieval augmented generation in medicine,Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2408.00727,acquisition_url,high
U056,research/ref-paper/is1/pdfs/57_an_automatic_patent_literature_retrieval_system_2025.pdf,an automatic patent literature retrieval system,An automatic patent literature retrieval system based on LLM-RAG,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2508.14064,acquisition_url,high
U057,research/ref-paper/is1/pdfs/58_pai_net_retrieval_augmented_generation_patent_2025.pdf,pai net retrieval augmented generation patent,PAI-NET: Retrieval Augmented Generation Patent Network using Prior Art Information,acquisition_metadata_verified_in_pdf,1.0000,verified,10.20944/preprints202502.1615.v1,acquisition_url,high,,,not_detected
U058,research/ref-paper/is1/pdfs/59_gepa_reflective_prompt_evolution_can_outperform_2026.pdf,gepa reflective prompt evolution can outperform,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2507.19457,acquisition_url,high
U058,research/ref-paper/shared/pdfs/54_gepa_reflective_prompt_evolution_can_outperform_rl_2026.pdf,gepa reflective prompt evolution can outperform rl,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,acquisition_metadata_verified_in_pdf,0.8571,verified,,,not_detected,2507.19457,acquisition_url,high
U059,research/ref-paper/is1/pdfs/60__rankgpt_chatgpt_search_reranking_2023.pdf,rankgpt chatgpt search reranking,Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents,rendered_first_page_text,0.5000,verified_with_title_variation,,,not_detected,2304.09542,acquisition_url,high
U060,research/ref-paper/is1/pdfs/61__rankzephyr_zero_shot_listwise_reranking_2023.pdf,rankzephyr zero shot listwise reranking,RankZephyr: Effective and Robust Zero-Shot Listwise Reranking is a Breeze!,rendered_first_page_text,1.0000,verified,,,not_detected,2312.02724,acquisition_url,high
U061,research/ref-paper/is1/pdfs/62__first_faster_listwise_reranking_single_token_decoding_2024.pdf,first faster listwise reranking single token decoding,FIRST faster listwise reranking with single token decoding,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,,,not_detected
U062,research/ref-paper/is1/pdfs/63__rank_distillm_cross_encoder_distillation_2024.pdf,rank distillm cross encoder distillation,Rank-DistiLLM cross-encoder distillation,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2405.07920,acquisition_url,high
U063,research/ref-paper/is1/pdfs/64__format_robust_reranking_open_llms_2023.pdf,format robust reranking open llms,Rank-without-GPT: Building GPT-Independent Listwise Rerankers on Open-Source Large Language Models,rendered_first_page_text,0.2000,alias_title_mismatch,,,not_detected,2312.02969,acquisition_url,high
U064,research/ref-paper/is1/pdfs/65__guiding_retrieval_llm_listwise_rankers_2025.pdf,guiding retrieval llm listwise rankers,Guiding Retrieval with LLM Listwise Rankers,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2501.09186,acquisition_url,high
U065,research/ref-paper/is1/pdfs/66__automatic_prompt_engineer_ape_2022.pdf,automatic prompt engineer ape,APE Automatic Prompt Engineer,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2211.01910,acquisition_url,high
U066,research/ref-paper/is1/pdfs/67__textgrad_automatic_differentiation_via_text_2024.pdf,textgrad automatic differentiation via text,TextGrad automatic differentiation via text,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2406.07496,acquisition_url,high
U067,research/ref-paper/is1/pdfs/68__prompt_optimization_is_a_coin_flip_2026.pdf,prompt optimization is a coin flip,Prompt Optimization is a Coin Flip,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2604.14585,acquisition_url,high
U067,research/ref-paper/is1/pdfs/71_prompt_optimization_is_a_coin_flip.pdf,prompt optimization is a coin flip,Prompt Optimization is a Coin Flip,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2604.14585,acquisition_url,high
U068,research/ref-paper/is1/pdfs/69__rapo_retrieval_augmented_prompt_optimization_2024.pdf,rapo retrieval augmented prompt optimization,RAPO Retrieval-Augmented Prompt Optimization,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,,,not_detected
U069,research/ref-paper/is1/pdfs/70_a_novel_re_ranking_architecture_for_patent_search.pdf,a novel re ranking architecture for patent search,A novel re-ranking architecture for patent search,acquisition_metadata_verified_in_pdf,1.0000,verified,10.1016/j.wpi.2024.102282,acquisition_url,high,,,not_detected
U070,research/ref-paper/is1/pdfs/72_a_prompt_sensitivity_index_for_large_language_models.pdf,a prompt sensitivity index for large language models,POSIX: A Prompt Sensitivity Index For Large Language Models,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2410.02185,pdf_front_matter,medium
U071,research/ref-paper/is1/pdfs/73_optimizing_compound_ai_systems.pdf,optimizing compound ai systems,OPTIMAS: Optimizing Compound AI Systems with Globally Aligned Local Rewards,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2507.03041,pdf_front_matter,medium
U072,research/ref-paper/is1/pdfs/74_compound_ai_systems_optimization.pdf,compound ai systems optimization,Compound AI Systems Optimization: A Survey of Methods Challenges and Future Directions,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2506.08234,pdf_front_matter,medium
U073,research/ref-paper/is1/pdfs/75_compiling_declarative_language_model_calls_into_self_improving_pipelines.pdf,compiling declarative language model calls into self improving pipelines,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2310.03714,pdf_front_matter,medium
U073,research/ref-paper/shared/pdfs/13_dspy_compiling_declarative_language_model_calls_2023.pdf,dspy compiling declarative language model calls,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2310.03714,pdf_front_matter,medium
U074,research/ref-paper/is1/pdfs/76_a_gentle_introduction_to_conformal_prediction_and_distribution_free_uncertainty_quantification.pdf,a gentle introduction to conformal prediction and distribution free uncertainty quantification,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2107.07511,pdf_front_matter,medium
U075,research/ref-paper/is1/pdfs/77_algorithmic_learning_in_a_random_world.pdf,algorithmic learning in a random world,Algorithmic Learning in a Random World,rendered_title_page_visual_review,1.0000,verified,10.1007/b106715,acquisition_url,high,,,not_detected
U076,research/ref-paper/is1/pdfs/78_cost_aware_prompt_optimization.pdf,cost aware prompt optimization,CAPO: Cost-Aware Prompt Optimization,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2504.16005,pdf_front_matter,medium
U077,research/ref-paper/is1/pdfs/79_is_it_novel_and_why_fine_grained_patent_novelty_prediction.pdf,is it novel and why fine grained patent novelty prediction,Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,rendered_first_page_text,1.0000,verified,10.1145/3805712.3809576,pdf_front_matter,medium,2605.02392,pdf_front_matter,medium
U078,research/ref-paper/is1/pdfs/80_benchmarking_patent_embeddings.pdf,benchmarking patent embeddings,"Benchmarking Patent Embeddings: A Multi-Task Evaluation of 22 Models Across Retrieval, Classification, and Clustering",rendered_first_page_text,1.0000,verified,,,not_detected,2605.24297,pdf_front_matter,medium
U079,research/ref-paper/is1/pdfs/81_prompt_engineering_evaluation_metrics_for_interpretable_joint.pdf,prompt engineering evaluation metrics for interpretable joint,PEEM: Prompt Engineering Evaluation Metrics for Interpretable Joint Evaluation of Prompts and Responses,rendered_first_page_text,1.0000,verified,,,not_detected,2603.10477,pdf_front_matter,medium
U080,research/ref-paper/is1/pdfs/82_automatic_instruction_prompt_optimization_by_model_itself.pdf,automatic instruction prompt optimization by model itself,AIPO: Automatic Instruction Prompt Optimization by Model Itself with Gradient Ascent,pdfinfo,1.0000,verified,10.1016/j.csl.2025.101889,pdf_metadata,high,,,not_detected
U081,research/ref-paper/is1/pdfs/83_a_benchmark_of_prompts_and_rubrics_for_evaluating_deep_research_agents.pdf,a benchmark of prompts and rubrics for evaluating deep research agents,ResearchRubrics: A Benchmark of Prompts and Rubrics for Evaluating Deep Research Agents,pdfinfo,1.0000,verified,,,not_detected,2511.07685,pdf_front_matter,medium
U082,research/ref-paper/is1/pdfs/84_skillopt_executive_strategy_for_self_evolving_agent_skills.pdf,skillopt executive strategy for self evolving agent skills,SkillOpt: Executive Strategy for Self-Evolving Agent Skills,pdfinfo,1.0000,verified,,,not_detected,2605.23904,pdf_front_matter,medium
U083,research/ref-paper/shared/pdfs/01_beir_a_heterogeneous_benchmark_for_zero_2021.pdf,beir a heterogeneous benchmark for zero,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2104.08663,acquisition_url,high
U084,research/ref-paper/shared/pdfs/02_colbertv2_effective_and_efficient_retrieval_via_2022.pdf,colbertv2 effective and efficient retrieval via,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2112.01488,acquisition_url,high
U085,research/ref-paper/shared/pdfs/03_precise_zero_shot_dense_retrieval_without_2023.pdf,precise zero shot dense retrieval without,Precise Zero-Shot Dense Retrieval without Relevance Labels (HyDE),acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2212.10496,acquisition_url,high
U085,research/ref-paper/shared/pdfs/52_precise_zero_shot_dense_retrieval_without_relevance_labels.pdf,precise zero shot dense retrieval without relevance labels,Precise Zero-Shot Dense Retrieval without Relevance Labels (HyDE),acquisition_metadata_verified_in_pdf,1.0000,verified,,,not_detected,2212.10496,acquisition_url,high
