u_id,legacy_path,sha256,size_bytes,collection,dedup_role,historical_canonical_path,object_path,alias_identity_status
U017,research/ref-paper/is1/pdfs/17_needle_in_a_haystack_harnessing_ai_2024.pdf,23afd72319f09b3b25f39ad58ad18f6f3a4fc54c3d68da44539cdf72d40e7028,1806351,is1,canonical,research/ref-paper/is1/pdfs/17_needle_in_a_haystack_harnessing_ai_2024.pdf,01_evidence/A-tier/U017_needle_in_a_haystack_harnessing_ai_in_drug_patent_searches_and_predictio.pdf,verified
U018,research/ref-paper/is1/pdfs/18_enhancing_patent_retrieval_using_text_and_2022.pdf,4b1023ef0c1e63256232782d5d72aa189133fd510bf282d21680ebfeb730b9cb,1643712,is1,canonical,research/ref-paper/is1/pdfs/18_enhancing_patent_retrieval_using_text_and_2022.pdf,01_evidence/A-tier/U018_enhancing_patent_retrieval_using_text_and_knowledge_graph_embeddings_a_t.pdf,verified
U019,research/ref-paper/is1/pdfs/19_patent_classification_by_fine_tuning_bert_2019.pdf,12a08f0d9b1eb72a13d53bf6fa367e89dee8e55026e2269d3404095e87fde996,729224,is1,canonical,research/ref-paper/is1/pdfs/19_patent_classification_by_fine_tuning_bert_2019.pdf,01_evidence/A-tier/U019_patentbert_patent_classification_by_fine_tuning_bert_language_model.pdf,verified
U020,research/ref-paper/is1/pdfs/20_zero_shot_hybrid_retrieval_and_reranking_2022.pdf,9bd2b1f5eea98637de9ff49bd810b49be774502bd9732bf2b74a0c27404a6458,618170,is1,canonical,research/ref-paper/is1/pdfs/20_zero_shot_hybrid_retrieval_and_reranking_2022.pdf,01_evidence/B-tier/U020_zero_shot_hybrid_retrieval_and_reranking_models_for_biomedical_literatur.pdf,verified
U021,research/ref-paper/is1/pdfs/21_patcid_chemical_structure_database_from_patent_2024.pdf,4e90f27e6d8b72449c3a96b219ddf5efd743db5f0879c25907f379648ddbe5a7,1505975,is1,canonical,research/ref-paper/is1/pdfs/21_patcid_chemical_structure_database_from_patent_2024.pdf,01_evidence/A-tier/U021_patcid_an_open_access_dataset_of_chemical_structures_in_patent_documents.pdf,verified
U022,research/ref-paper/is1/pdfs/22_enhancing_patent_retrieval_using_automated_patent_2022.pdf,c309ccb34e8c36b529c40b702a622900ef2042f1a6e092e33b1defad8adb2ddb,1994369,is1,canonical,research/ref-paper/is1/pdfs/22_enhancing_patent_retrieval_using_automated_patent_2022.pdf,01_evidence/A-tier/U022_enhancing_patent_retrieval_using_automated_patent_summarization.pdf,verified
U023,research/ref-paper/is1/pdfs/23_llm_powered_real_time_patent_citation_2026.pdf,16fb7f9b2d7b8601931847b3d7683c4e4ab9f354d563014586e99b9eb933d768,3717890,is1,canonical,research/ref-paper/is1/pdfs/23_llm_powered_real_time_patent_citation_2026.pdf,01_evidence/A-tier/U023_llm_powered_real_time_patent_citation_recommendation_for_financial_techn.pdf,verified
U024,research/ref-paper/is1/pdfs/24_evopat_multi_llm_based_patent_summarization_2024.pdf,2594f2d877a4b65e08c6e2eb10612094ecff83a51a63696bc50a7e91b556c736,1227477,is1,canonical,research/ref-paper/is1/pdfs/24_evopat_multi_llm_based_patent_summarization_2024.pdf,01_evidence/A-tier/U024_evopat_a_multi_llm_based_patents_summarization_and_analysis_agent.pdf,verified
U025,research/ref-paper/is1/pdfs/25_deep_learning_for_patent_landscaping_using_2022.pdf,7788735721a8d0516cbbfc46d59d5236e484e57e001511497db09b241e7ad540,1310097,is1,canonical,research/ref-paper/is1/pdfs/25_deep_learning_for_patent_landscaping_using_2022.pdf,01_evidence/A-tier/U025_deep_learning_for_patent_landscaping_using_transformer_and_graph_embeddi.pdf,verified
U026,research/ref-paper/is1/pdfs/26_biocpt_contrastive_pre_trained_transformers_for_2023.pdf,36375d5310c4ebee73a73453aba880a5babdedfe7ec2ca40c83ffed8f662b02f,990380,is1,canonical,research/ref-paper/is1/pdfs/26_biocpt_contrastive_pre_trained_transformers_for_2023.pdf,01_evidence/B-tier/U026_medcpt_contrastive_pre_trained_transformers_with_large_scale_pubmed_sear.pdf,verified
U027,research/ref-paper/is1/pdfs/27_graph_transformer_for_efficient_patent_search_2025.pdf,5924910b08d56a638904285d6ec44a2f2490c0704ed57bfd694e086863ef893e,814033,is1,canonical,research/ref-paper/is1/pdfs/27_graph_transformer_for_efficient_patent_search_2025.pdf,01_evidence/B-tier/U027_efficient_patent_searching_using_graph_transformers.pdf,verified
U028,research/ref-paper/is1/pdfs/28_contrastive_learning_enhanced_retrieval_augmented_few_2026.pdf,db1eb5909cf96c601252d732e7b95bd57556c48e1f0c0288cf25a4fd267a138d,5172601,is1,canonical,research/ref-paper/is1/pdfs/28_contrastive_learning_enhanced_retrieval_augmented_few_2026.pdf,01_evidence/C-tier/U028_contrastive_learning_enhanced_retrieval_augmented_few_shot_framework_for.pdf,verified
U029,research/ref-paper/is1/pdfs/29_clef_ip_2011_retrieval_in_the_2011.pdf,c2e600a8d73153f81716fceabe391739444a32cc156379dbe66e17f50d74b662,254838,is1,canonical,research/ref-paper/is1/pdfs/29_clef_ip_2011_retrieval_in_the_2011.pdf,01_evidence/B-tier/U029_clef_ip_2011_retrieval_in_the_intellectual_property_domain.pdf,verified
U030,research/ref-paper/is1/pdfs/30_clef_ip_2012_retrieval_experiments_in_2012.pdf,43f35981d827f6c1118c11fc8f4aa97f964e40c8df223b8876f5d6550e5d0c07,1112195,is1,canonical,research/ref-paper/is1/pdfs/30_clef_ip_2012_retrieval_experiments_in_2012.pdf,01_evidence/B-tier/U030_clef_ip_2012_retrieval_experiments_in_the_intellectual_property_domain.pdf,verified
U031,research/ref-paper/is1/pdfs/31_report_on_clef_ip_2011_exploring_2011.pdf,801f9f44e5e6a3f97f63a9dc2e7f74650250ee68ca6a51a42ac81f0abb25394a,248923,is1,canonical,research/ref-paper/is1/pdfs/31_report_on_clef_ip_2011_exploring_2011.pdf,01_evidence/B-tier/U031_report_on_the_clef_ip_2011_experiments_exploring_patent_summarization.pdf,verified
U032,research/ref-paper/is1/pdfs/32_a_comparative_analysis_of_embedding_models_2024.pdf,83e960fef77fcdbff639a21a425095f0f99b6620b48fa7a886170654d602915f,156335,is1,canonical,research/ref-paper/is1/pdfs/32_a_comparative_analysis_of_embedding_models_2024.pdf,01_evidence/B-tier/U032_a_comparative_analysis_of_embedding_models_for_patent_similarity.pdf,verified
U033,research/ref-paper/is1/pdfs/33_a_survey_on_automated_and_ai_2026.pdf,ee11448b455dc4fdac09e95d6f476472ef8ad067318715164e5e40e3d620aead,2987221,is1,canonical,research/ref-paper/is1/pdfs/33_a_survey_on_automated_and_ai_2026.pdf,01_evidence/A-tier/U033_a_survey_on_automated_and_ai_based_tools_for_patent_retrieval_with_a_spe.pdf,verified
U034,research/ref-paper/is1/pdfs/34_a_survey_on_patent_analysis_from_2024.pdf,94b2ef789464ff2c35599f0cc8399d4710dc8697317fc068723f9841f1676f17,1023191,is1,canonical,research/ref-paper/is1/pdfs/34_a_survey_on_patent_analysis_from_2024.pdf,01_evidence/A-tier/U034_a_survey_on_patent_analysis_from_nlp_to_multimodal_ai.pdf,verified
U027,research/ref-paper/is1/pdfs/35_efficient_graph_transformer_patent_search_iprally_2025.pdf,5924910b08d56a638904285d6ec44a2f2490c0704ed57bfd694e086863ef893e,814033,is1,duplicate-of:research/ref-paper/is1/pdfs/27_graph_transformer_for_efficient_patent_search_2025.pdf,research/ref-paper/is1/pdfs/27_graph_transformer_for_efficient_patent_search_2025.pdf,01_evidence/B-tier/U027_efficient_patent_searching_using_graph_transformers.pdf,verified_with_title_variation
U035,research/ref-paper/is1/pdfs/36_beir_heterogeneous_benchmark_for_zero_shot_2021.pdf,682da185b92b4d04f906de2a59f4b5152c1a1f15433cc7da812d1f522756c1bc,1214175,is1,canonical,research/ref-paper/is1/pdfs/36_beir_heterogeneous_benchmark_for_zero_shot_2021.pdf,01_evidence/A-tier/U035_beir_a_heterogeneous_benchmark_for_zero_shot_evaluation_of_information_r.pdf,verified
U036,research/ref-paper/is1/pdfs/37_patexpert_ai_orchestrated_multi_agent_patent_2024.pdf,6840dc1ed45a2865c72748a1779ecc427178acc4ff1a7a713d93c94ee2b48bf2,746290,is1,canonical,research/ref-paper/is1/pdfs/37_patexpert_ai_orchestrated_multi_agent_patent_2024.pdf,01_evidence/C-tier/U036_towards_automated_patent_workflows_ai_orchestrated_multi_agent_framework.pdf,verified
U037,research/ref-paper/is1/pdfs/38_colbertv2_effective_and_efficient_retrieval_via_2022.pdf,62d6558f515ef6a62dfb3047f8d79262613c7f13503cdf74d048804e17a6de93,916038,is1,canonical,research/ref-paper/is1/pdfs/38_colbertv2_effective_and_efficient_retrieval_via_2022.pdf,01_evidence/A-tier/U037_colbertv2_effective_and_efficient_retrieval_via_lightweight_late_interac.pdf,verified
U038,research/ref-paper/is1/pdfs/39_h_protorag_hierarchical_prototype_based_retrieval_2026.pdf,ab0a43419308ca9b3b4400888c56daaa81b3c5b9e459af35da20bb10edb434f2,2757044,is1,canonical,research/ref-paper/is1/pdfs/39_h_protorag_hierarchical_prototype_based_retrieval_2026.pdf,01_evidence/A-tier/U038_h_protorag_a_hierarchical_prototype_based_retrieval_augmented_framework.pdf,verified
U039,research/ref-paper/is1/pdfs/40_full_recall_semantic_search_based_ranking_2025.pdf,1a7441812abe43487ecc4b5995dc998c4d97aa3ed39ea9726e2dc263ef60b8c7,2282222,is1,canonical,research/ref-paper/is1/pdfs/40_full_recall_semantic_search_based_ranking_2025.pdf,01_evidence/B-tier/U039_fullrecall_a_semantic_search_based_ranking_approach_for_maximizing_recal.pdf,verified
U040,research/ref-paper/is1/pdfs/41_mining_patents_with_llms_chemical_function_2024.pdf,df93f5d3e50e9c77a91cca80d62dc5e7c3c5488b9756d9441f840e4d54b20796,1184030,is1,canonical,research/ref-paper/is1/pdfs/41_mining_patents_with_llms_chemical_function_2024.pdf,01_evidence/C-tier/U040_mining_patents_with_large_language_models_elucidates_the_chemical_functi.pdf,verified
U041,research/ref-paper/is1/pdfs/42_natural_language_processing_tools_for_pharmaceutical_2025.pdf,f8dd4d60bd2ad79324d33e337a86fd6495c7253046f3bd8e4af8548250a79d33,1052440,is1,canonical,research/ref-paper/is1/pdfs/42_natural_language_processing_tools_for_pharmaceutical_2025.pdf,01_evidence/C-tier/U041_natural_language_processing_nlp_tools_for_pharmaceutical_manufacturing_i.pdf,verified
U042,research/ref-paper/is1/pdfs/43_toward_knowledge_based_system_for_african_2022.pdf,f902a1d9095819436505f85b44cac194ba3e86fc33a46ce02f83c0703e337b23,1475806,is1,canonical,research/ref-paper/is1/pdfs/43_toward_knowledge_based_system_for_african_2022.pdf,01_evidence/C-tier/U042_toward_knowledge_based_system_for_african_traditional_herbal_medicine_us.pdf,verified
U043,research/ref-paper/is1/pdfs/44_patentsemtech_2024_improving_patent_classification_using_2024.pdf,aaad3977aa6a3958e671df44232586b1f3f9a7383631c0c5ecbb21c83e20d097,1396739,is1,canonical,research/ref-paper/is1/pdfs/44_patentsemtech_2024_improving_patent_classification_using_2024.pdf,01_evidence/C-tier/U043_patentsemtech_2024_improving_patent_classification_using_ai_generated_su.pdf,verified
U044,research/ref-paper/is1/pdfs/45_closed_frontier_models_for_patent_prior_art_2024.pdf,aae47b8271fe2b0660f8a3621393333c13b05851f15e959e000c58839b9e7ab2,1734228,is1,canonical,research/ref-paper/is1/pdfs/45_closed_frontier_models_for_patent_prior_art_2024.pdf,01_evidence/A-tier/U044_chatgpt_vs_google_gemini_assessing_ai_frontiers_for_patent_prior_art_sea.pdf,verified_with_title_variation
U045,research/ref-paper/is1/pdfs/46_intermediate_domain_alignment_for_patent_product_2024.pdf,90dc3724e0dac7a5b645eae0a52151ad50897db53343f7a48c1645b6a32a5d1b,1558054,is1,canonical,research/ref-paper/is1/pdfs/46_intermediate_domain_alignment_for_patent_product_2024.pdf,01_evidence/A-tier/U045_intermediate_domain_alignment_for_patent_product_image_retrieval_idama.pdf,verified
U046,research/ref-paper/is1/pdfs/47_large_language_model_informed_patent_image_2024.pdf,b405a9444717795e2791767f438f56d938a3bd98ddaf3e593ea37a5f01e11cab,5932417,is1,canonical,research/ref-paper/is1/pdfs/47_large_language_model_informed_patent_image_2024.pdf,01_evidence/A-tier/U046_large_language_model_informed_patent_image_retrieval_multimodal_distribu.pdf,verified
U047,research/ref-paper/is1/pdfs/48_prior_art_retrieval_using_patent_sections_2010.pdf,41c973d35288702ee572061d7d35bfbd55e5267fa76ab03c7bf7790be81c9d9d,167465,is1,canonical,research/ref-paper/is1/pdfs/48_prior_art_retrieval_using_patent_sections_2010.pdf,01_evidence/A-tier/U047_prior_art_retrieval_using_patent_sections_clef_ip_2010_dhondt_et_al.pdf,verified
U048,research/ref-paper/is1/pdfs/49_hierarchical_multi_positive_contrastive_learning_for_2025.pdf,1248bb844e415db2dfb029ec429218606183427460f0acef864313a090c3017c,1370260,is1,canonical,research/ref-paper/is1/pdfs/49_hierarchical_multi_positive_contrastive_learning_for_2025.pdf,01_evidence/A-tier/U048_hierarchical_multi_positive_contrastive_learning_for_patent_image_retrie.pdf,verified
U049,research/ref-paper/is1/pdfs/50_citation_driven_multi_view_training_for_2026.pdf,b9a6db6b10c10439cc5f5119f3e6c0e8a44f41c250d6e9125ccd3f6c00c472c3,1313297,is1,canonical,research/ref-paper/is1/pdfs/50_citation_driven_multi_view_training_for_2026.pdf,01_evidence/A-tier/U049_citation_driven_multi_view_training_for_patent_embeddings_qaecter_and_so.pdf,verified
U050,research/ref-paper/is1/pdfs/51_patent_language_model_pretraining_with_modernbert_2025.pdf,9e0b48fff3b045e80795ba00d2cb3ee64c383c53348e523bbd9d1b0b2d85a677,4460551,is1,canonical,research/ref-paper/is1/pdfs/51_patent_language_model_pretraining_with_modernbert_2025.pdf,01_evidence/A-tier/U050_patent_language_model_pretraining_with_modernbert.pdf,verified
U051,research/ref-paper/is1/pdfs/52_towards_efficient_patent_analysis_a_large_2026.pdf,e669433386ebff350d54575f710889cb090f5077a406c623bff98d0b8e23b56d,3746080,is1,canonical,research/ref-paper/is1/pdfs/52_towards_efficient_patent_analysis_a_large_2026.pdf,01_evidence/A-tier/U051_towards_efficient_patent_analysis_a_large_language_model_and_bert_refine.pdf,verified
U052,research/ref-paper/is1/pdfs/53_standard_applicability_judgment_and_cross_jurisdictional_2025.pdf,ddac13574791a286a2685fe68b41c207638c376201a54e9598e73068fd3978ee,1035166,is1,canonical,research/ref-paper/is1/pdfs/53_standard_applicability_judgment_and_cross_jurisdictional_2025.pdf,01_evidence/B-tier/U052_standard_applicability_judgment_and_cross_jurisdictional_reasoning_a_rag.pdf,verified
U053,research/ref-paper/is1/pdfs/54_intelligent_chinese_patent_medicine_recommendation_framework_2025.pdf,a35442c3b311139c4bd1ece09792336fcaefb7eb7b5a18de494e89c85a75b299,7715686,is1,canonical,research/ref-paper/is1/pdfs/54_intelligent_chinese_patent_medicine_recommendation_framework_2025.pdf,01_evidence/A-tier/U053_intelligent_chinese_patent_medicine_cpm_recommendation_framework_integra.pdf,verified
U054,research/ref-paper/is1/pdfs/55_research_on_the_global_patent_trend_2023.pdf,9080ed18d345d167e99004dc20123932658dbf4a493ccfacc41a0e17ddfe8ed2,1174943,is1,canonical,research/ref-paper/is1/pdfs/55_research_on_the_global_patent_trend_2023.pdf,01_evidence/A-tier/U054_research_on_the_global_patent_trend_of_artificial_intelligence_medical_d.pdf,verified
U055,research/ref-paper/is1/pdfs/56_improving_retrieval_augmented_generation_in_medicine_2024.pdf,ea18b753e00420d66f1a26c6d2b372f6dc542a695d6206a383b8fe2f379c60a8,1718584,is1,canonical,research/ref-paper/is1/pdfs/56_improving_retrieval_augmented_generation_in_medicine_2024.pdf,01_evidence/B-tier/U055_improving_retrieval_augmented_generation_in_medicine_with_iterative_foll.pdf,verified
U056,research/ref-paper/is1/pdfs/57_an_automatic_patent_literature_retrieval_system_2025.pdf,1343ea48ad7ad8af9f63083701376d1c16aa4c058d261a6e52dc5b9f3455695f,310266,is1,canonical,research/ref-paper/is1/pdfs/57_an_automatic_patent_literature_retrieval_system_2025.pdf,01_evidence/A-tier/U056_an_automatic_patent_literature_retrieval_system_based_on_llm_rag.pdf,verified
U057,research/ref-paper/is1/pdfs/58_pai_net_retrieval_augmented_generation_patent_2025.pdf,0187f3cc3d5288c16a3b1a741202094646a734ff98e4d4dbe3eb4c49253f1282,1758664,is1,canonical,research/ref-paper/is1/pdfs/58_pai_net_retrieval_augmented_generation_patent_2025.pdf,01_evidence/A-tier/U057_pai_net_retrieval_augmented_generation_patent_network_using_prior_art_in.pdf,verified
U058,research/ref-paper/is1/pdfs/59_gepa_reflective_prompt_evolution_can_outperform_2026.pdf,ab3a5139bac83f192ad67529368d77b84b0d807e95a8e4fd0daa8d45fd046bec,2975112,is1,canonical,research/ref-paper/is1/pdfs/59_gepa_reflective_prompt_evolution_can_outperform_2026.pdf,01_evidence/A-tier/U058_gepa_reflective_prompt_evolution_can_outperform_reinforcement_learning.pdf,verified
U059,research/ref-paper/is1/pdfs/60__rankgpt_chatgpt_search_reranking_2023.pdf,3a2ca388b4a2fb17e58551f1a77b2c7decbbf6767255382cfa2d9e435c7a7e70,849174,is1,canonical,research/ref-paper/is1/pdfs/60__rankgpt_chatgpt_search_reranking_2023.pdf,01_evidence/B-tier/U059_is_chatgpt_good_at_search_investigating_large_language_models_as_re_rank.pdf,verified_with_title_variation
U060,research/ref-paper/is1/pdfs/61__rankzephyr_zero_shot_listwise_reranking_2023.pdf,aa198a0df997f39ecd064670ed17f62b22fc567502890832ba1206de99be464b,297472,is1,canonical,research/ref-paper/is1/pdfs/61__rankzephyr_zero_shot_listwise_reranking_2023.pdf,01_evidence/B-tier/U060_rankzephyr_effective_and_robust_zero_shot_listwise_reranking_is_a_breeze.pdf,verified
U061,research/ref-paper/is1/pdfs/62__first_faster_listwise_reranking_single_token_decoding_2024.pdf,fca02e77ff691f6de93cc21bfd5dfc56ea925b73c25f3e8dee50a1b67df67296,505908,is1,canonical,research/ref-paper/is1/pdfs/62__first_faster_listwise_reranking_single_token_decoding_2024.pdf,01_evidence/B-tier/U061_first_faster_listwise_reranking_with_single_token_decoding.pdf,verified
U062,research/ref-paper/is1/pdfs/63__rank_distillm_cross_encoder_distillation_2024.pdf,4c8ff39e0748759e036f89ddf2549f1ed160c38964b832133ac56685450bd563,428430,is1,canonical,research/ref-paper/is1/pdfs/63__rank_distillm_cross_encoder_distillation_2024.pdf,01_evidence/C-tier/U062_rank_distillm_cross_encoder_distillation.pdf,verified
U063,research/ref-paper/is1/pdfs/64__format_robust_reranking_open_llms_2023.pdf,9edc0971af4f8fb32f06604ce95da556d36bdc1074a04801e0a6748ee292d304,597765,is1,canonical,research/ref-paper/is1/pdfs/64__format_robust_reranking_open_llms_2023.pdf,01_evidence/B-tier/U063_rank_without_gpt_building_gpt_independent_listwise_rerankers_on_open_sou.pdf,alias_title_mismatch
U064,research/ref-paper/is1/pdfs/65__guiding_retrieval_llm_listwise_rankers_2025.pdf,8defa5deb51e7f0adaa7d7fee920c47671e5f88163ff6513616f91b2deaf59a9,672603,is1,canonical,research/ref-paper/is1/pdfs/65__guiding_retrieval_llm_listwise_rankers_2025.pdf,01_evidence/B-tier/U064_guiding_retrieval_with_llm_listwise_rankers.pdf,verified
U065,research/ref-paper/is1/pdfs/66__automatic_prompt_engineer_ape_2022.pdf,b4162f38101db7511e6292a2577c66514c757824ddd21f8426a6276485355e81,4085477,is1,canonical,research/ref-paper/is1/pdfs/66__automatic_prompt_engineer_ape_2022.pdf,01_evidence/C-tier/U065_ape_automatic_prompt_engineer.pdf,verified
U066,research/ref-paper/is1/pdfs/67__textgrad_automatic_differentiation_via_text_2024.pdf,9cbfd5c78ad69e2a8363e76d6774f3e6b5e68f46b409d8b560e98276a985b428,1336878,is1,canonical,research/ref-paper/is1/pdfs/67__textgrad_automatic_differentiation_via_text_2024.pdf,01_evidence/A-tier/U066_textgrad_automatic_differentiation_via_text.pdf,verified
U067,research/ref-paper/is1/pdfs/68__prompt_optimization_is_a_coin_flip_2026.pdf,726bf5b639910e69991fe4d9ded654cca700ebbe40f79d37b10eed71ee6a3638,759263,is1,canonical,research/ref-paper/is1/pdfs/68__prompt_optimization_is_a_coin_flip_2026.pdf,01_evidence/A-tier/U067_prompt_optimization_is_a_coin_flip.pdf,verified
U068,research/ref-paper/is1/pdfs/69__rapo_retrieval_augmented_prompt_optimization_2024.pdf,2c1012c9aa8414a92ac0bbfff8c8b53dd6f19d89654e0e32cdc344919456b095,224686,is1,canonical,research/ref-paper/is1/pdfs/69__rapo_retrieval_augmented_prompt_optimization_2024.pdf,01_evidence/A-tier/U068_rapo_retrieval_augmented_prompt_optimization.pdf,verified
U069,research/ref-paper/is1/pdfs/70_a_novel_re_ranking_architecture_for_patent_search.pdf,5f627c6cf8423df37ad306c1c0de4ec4790a1a9fbf073f019c1adbaa3205ef97,2542822,is1,canonical,research/ref-paper/is1/pdfs/70_a_novel_re_ranking_architecture_for_patent_search.pdf,01_evidence/A-tier/U069_a_novel_re_ranking_architecture_for_patent_search.pdf,verified
U067,research/ref-paper/is1/pdfs/71_prompt_optimization_is_a_coin_flip.pdf,726bf5b639910e69991fe4d9ded654cca700ebbe40f79d37b10eed71ee6a3638,759263,is1,duplicate-of:research/ref-paper/is1/pdfs/68__prompt_optimization_is_a_coin_flip_2026.pdf,research/ref-paper/is1/pdfs/68__prompt_optimization_is_a_coin_flip_2026.pdf,01_evidence/A-tier/U067_prompt_optimization_is_a_coin_flip.pdf,verified
