u_id,sha256,size_bytes,collection,record_type,verified_title,title_source,identity_status,title_token_overlap,doi,doi_source,doi_confidence,arxiv_id,arxiv_source,arxiv_confidence,page_count,tier,source_url,acquired_from,legacy_primary_alias,object_path,digest_path
U011,384dff3e3ac0fe6d2064572bb0322ef4b059c82fcbd703e680a3b524e7120c27,2350240,is1,paper,DAPFAM: A Domain-Aware Family-level Dataset to benchmark cross-domain patent retrieval,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.ipm.2025.104169,acquisition_url,high,2506.22141,acquisition_url,high,35,A,https://doi.org/10.1016/j.ipm.2025.104169,https://arxiv.org/pdf/2506.22141,research/ref-paper/is1/pdfs/11_dapfam_domain_aware_family_level_dataset_2025.pdf,01_evidence/A-tier/U011_dapfam_a_domain_aware_family_level_dataset_to_benchmark_cross_domain_pat.pdf,01_evidence/literature/validated-digests/U011_dapfam_digest.md
U012,528a290ea2e479ed72d377c0fb4d5e762feaf4c5a233dc62464dfc5c11358f85,1091042,is1,paper,PatenTEB: A Comprehensive Benchmark and Model Family for Patent Text Embedding,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2510.22264,acquisition_url,high,35,A,https://arxiv.org/abs/2510.22264,https://arxiv.org/pdf/2510.22264,research/ref-paper/is1/pdfs/12_patenteb_a_comprehensive_benchmark_and_model_2025.pdf,01_evidence/A-tier/U012_patenteb_a_comprehensive_benchmark_and_model_family_for_patent_text_embe.pdf,01_evidence/literature/validated-digests/U012_patenteb_digest.md
U013,39aacd435c9acc78a744b6e818b142e5ff76cd2ab40fedf8ac371da6891d3214,3259965,is1,paper,Patent Representation Learning via Self-supervision,frozen_digest_verified_against_pdf,verified,0.6250,,,not_detected,2511.10657,acquisition_url,high,20,A,https://arxiv.org/abs/2511.10657,https://arxiv.org/pdf/2511.10657,research/ref-paper/is1/pdfs/13_patent_representation_learning_via_self_supervision_2025.pdf,01_evidence/A-tier/U013_patent_representation_learning_via_self_supervision.pdf,01_evidence/literature/validated-digests/U013_self_supervised_patent_representation_digest.md
U014,e0520c4384cf413c467ea8e62ba2113aa3cd06c4d737cc75c94c69307f1cc73e,1613194,is1,paper,Rethinking patent retrieval with language models: Toward scalable and efficient search,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.wpi.2026.102433,acquisition_url,high,,,not_detected,13,A,https://doi.org/10.1016/j.wpi.2026.102433,human-provided:1-s2.0-S0172219026000086-main.pdf,research/ref-paper/is1/pdfs/14_rethinking_patent_retrieval_with_language_models_2026.pdf,01_evidence/A-tier/U014_rethinking_patent_retrieval_with_language_models_toward_scalable_and_eff.pdf,01_evidence/literature/validated-digests/U014_rethinking_patent_retrieval_lms_digest.md
U015,b557af2ad1743c17fe867108d2460f0158167637967be5c30b9dfdd9a480f19e,375045,is1,paper,Patent Retrieval with Few-Shot Fine-Tuning and Quantized Embeddings,frozen_digest_verified_against_pdf,verified,1.0000,10.1145/3787279.3787295,acquisition_url,high,,,not_detected,8,A,https://doi.org/10.1145/3787279.3787295,human-provided:3787279.3787295.pdf,research/ref-paper/is1/pdfs/15_patent_retrieval_with_few_shot_fine_2025.pdf,01_evidence/A-tier/U015_patent_retrieval_with_few_shot_fine_tuning_and_quantized_embeddings.pdf,01_evidence/literature/validated-digests/U015_patent_retrieval_few_shot_finetuning_digest.md
U016,8107e656437557c6e93e76a5de26cd06d7d47cc99e35032c23f857988e66ebca,1056268,is1,paper,BMRETRIEVER: Tuning Large Language Models as Better Biomedical Text Retrievers,frozen_digest_verified_against_pdf,verified,0.8571,,,not_detected,2404.18443,acquisition_url,high,20,C,https://arxiv.org/abs/2404.18443,https://arxiv.org/pdf/2404.18443,research/ref-paper/is1/pdfs/16_bmretriever_tuning_llms_as_better_biomedical_2024.pdf,01_evidence/C-tier/U016_bmretriever_tuning_large_language_models_as_better_biomedical_text_retri.pdf,01_evidence/literature/validated-digests/U016_bmretriever_biomedical_digest.md
U017,23afd72319f09b3b25f39ad58ad18f6f3a4fc54c3d68da44539cdf72d40e7028,1806351,is1,paper,Needle in a haystack: Harnessing AI in drug patent searches and prediction,rendered_first_page_text,verified,0.7000,10.1371/journal.pone.0311238,acquisition_url,high,,,not_detected,24,A,https://pmc.ncbi.nlm.nih.gov/articles/PMC11611211/,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0311238&type=printable,research/ref-paper/is1/pdfs/17_needle_in_a_haystack_harnessing_ai_2024.pdf,01_evidence/A-tier/U017_needle_in_a_haystack_harnessing_ai_in_drug_patent_searches_and_predictio.pdf,01_evidence/literature/validated-digests/U017_needle_haystack_drug_patent_digest.md
U018,4b1023ef0c1e63256232782d5d72aa189133fd510bf282d21680ebfeb730b9cb,1643712,is1,paper,Enhancing Patent Retrieval using Text and Knowledge Graph Embeddings: A Technical Note,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2211.01976,acquisition_url,high,22,A,https://arxiv.org/abs/2211.01976,human-provided:2211.01976v1.pdf,research/ref-paper/is1/pdfs/18_enhancing_patent_retrieval_using_text_and_2022.pdf,01_evidence/A-tier/U018_enhancing_patent_retrieval_using_text_and_knowledge_graph_embeddings_a_t.pdf,01_evidence/literature/validated-digests/U018_patent_retrieval_text_kg_embeddings_digest.md
U019,12a08f0d9b1eb72a13d53bf6fa367e89dee8e55026e2269d3404095e87fde996,729224,is1,paper,PatentBERT: Patent Classification by Fine-Tuning BERT Language Model,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,1906.02124,acquisition_url,high,6,A,https://arxiv.org/abs/1906.02124,human-provided:1906.02124v2.pdf,research/ref-paper/is1/pdfs/19_patent_classification_by_fine_tuning_bert_2019.pdf,01_evidence/A-tier/U019_patentbert_patent_classification_by_fine_tuning_bert_language_model.pdf,01_evidence/literature/validated-digests/U019_patentbert_classification_digest.md
U020,9bd2b1f5eea98637de9ff49bd810b49be774502bd9732bf2b74a0c27404a6458,618170,is1,paper,Zero-shot Hybrid Retrieval and Reranking Models for Biomedical Literature,frozen_digest_verified_against_pdf,verified,0.8750,,,not_detected,,,not_detected,10,B,https://ceur-ws.org/Vol-3180/paper-19.pdf,https://ceur-ws.org/Vol-3180/paper-19.pdf,research/ref-paper/is1/pdfs/20_zero_shot_hybrid_retrieval_and_reranking_2022.pdf,01_evidence/B-tier/U020_zero_shot_hybrid_retrieval_and_reranking_models_for_biomedical_literatur.pdf,01_evidence/literature/validated-digests/U020_zeroshot_hybrid_retrieval_rerank_digest.md
U021,4e90f27e6d8b72449c3a96b219ddf5efd743db5f0879c25907f379648ddbe5a7,1505975,is1,paper,PatCID: an open-access dataset of chemical structures in patent documents,frozen_digest_verified_against_pdf,verified,0.5000,10.1038/s41467-024-50779-y,acquisition_url,high,,,not_detected,11,A,https://doi.org/10.1038/s41467-024-50779-y,https://www.nature.com/articles/s41467-024-50779-y.pdf?error=cookies_not_supported&code=cf996c7d-cdf4-443c-9add-04e53591c801,research/ref-paper/is1/pdfs/21_patcid_chemical_structure_database_from_patent_2024.pdf,01_evidence/A-tier/U021_patcid_an_open_access_dataset_of_chemical_structures_in_patent_documents.pdf,01_evidence/literature/validated-digests/U021_patcid_chemical_structure_database_digest.md
U022,c309ccb34e8c36b529c40b702a622900ef2042f1a6e092e33b1defad8adb2ddb,1994369,is1,paper,Enhancing patent retrieval using automated patent summarization,frozen_digest_verified_against_pdf,verified,0.6250,,,not_detected,,,not_detected,12,A,https://ceur-ws.org/Vol-4062/paper5.pdf,https://ceur-ws.org/Vol-4062/paper4.pdf,research/ref-paper/is1/pdfs/22_enhancing_patent_retrieval_using_automated_patent_2022.pdf,01_evidence/A-tier/U022_enhancing_patent_retrieval_using_automated_patent_summarization.pdf,01_evidence/literature/validated-digests/U022_patent_retrieval_summarization_digest.md
U023,16fb7f9b2d7b8601931847b3d7683c4e4ab9f354d563014586e99b9eb933d768,3717890,is1,paper,LLM-powered Real-time Patent Citation Recommendation for Financial Technologies,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2601.16775,acquisition_url,high,40,A,https://arxiv.org/abs/2601.16775,https://arxiv.org/pdf/2601.16775,research/ref-paper/is1/pdfs/23_llm_powered_real_time_patent_citation_2026.pdf,01_evidence/A-tier/U023_llm_powered_real_time_patent_citation_recommendation_for_financial_techn.pdf,01_evidence/literature/validated-digests/U023_llm_patent_citation_recommendation_digest.md
U024,2594f2d877a4b65e08c6e2eb10612094ecff83a51a63696bc50a7e91b556c736,1227477,is1,paper,EvoPat: A Multi-LLM-Based Patents Summarization and Analysis Agent,frozen_digest_verified_against_pdf,verified,0.7778,,,not_detected,2412.18100,acquisition_url,high,15,A,https://arxiv.org/abs/2412.18100,https://arxiv.org/pdf/2412.18100,research/ref-paper/is1/pdfs/24_evopat_multi_llm_based_patent_summarization_2024.pdf,01_evidence/A-tier/U024_evopat_a_multi_llm_based_patents_summarization_and_analysis_agent.pdf,01_evidence/literature/validated-digests/U024_evopat_multi_llm_patent_summarization_digest.md
U025,7788735721a8d0516cbbfc46d59d5236e484e57e001511497db09b241e7ad540,1310097,is1,paper,Deep learning for patent landscaping using transformer and graph embedding,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.techfore.2021.121481,acquisition_url,high,,,not_detected,12,A,https://doi.org/10.1016/j.techfore.2021.121481,human-provided:1-s2.0-S0040162521008441-main.pdf,research/ref-paper/is1/pdfs/25_deep_learning_for_patent_landscaping_using_2022.pdf,01_evidence/A-tier/U025_deep_learning_for_patent_landscaping_using_transformer_and_graph_embeddi.pdf,01_evidence/literature/validated-digests/U025_patent_landscaping_transformer_graph_digest.md
U026,36375d5310c4ebee73a73453aba880a5babdedfe7ec2ca40c83ffed8f662b02f,990380,is1,paper,MedCPT: Contrastive Pre-trained Transformers with Large-scale PubMed Search Logs for Zero-shot Biomedical Information Retrieval,frozen_digest_verified_against_pdf,verified,0.7778,,,not_detected,2307.00589,acquisition_url,high,31,B,https://arxiv.org/abs/2307.00589,https://arxiv.org/pdf/2307.00589,research/ref-paper/is1/pdfs/26_biocpt_contrastive_pre_trained_transformers_for_2023.pdf,01_evidence/B-tier/U026_medcpt_contrastive_pre_trained_transformers_with_large_scale_pubmed_sear.pdf,01_evidence/literature/validated-digests/U026_medcpt_biomedical_ir_pubmed_logs_digest.md
U027,5924910b08d56a638904285d6ec44a2f2490c0704ed57bfd694e086863ef893e,814033,is1,paper,Efficient Patent Searching Using Graph Transformers,frozen_digest_verified_against_pdf,verified,0.5000,,,not_detected,2508.10496,acquisition_url,high,6,B,https://arxiv.org/abs/2508.10496,https://arxiv.org/pdf/2508.10496,research/ref-paper/is1/pdfs/27_graph_transformer_for_efficient_patent_search_2025.pdf,01_evidence/B-tier/U027_efficient_patent_searching_using_graph_transformers.pdf,01_evidence/literature/validated-digests/U027_graph_transformer_patent_search_digest.md
U028,db1eb5909cf96c601252d732e7b95bd57556c48e1f0c0288cf25a4fd267a138d,5172601,is1,paper,Contrastive learning enhanced retrieval-augmented few-shot framework for multi-label patent classification,frozen_digest_verified_against_pdf,verified,1.0000,10.1371/journal.pone.0341118,acquisition_url,high,,,not_detected,26,C,https://pmc.ncbi.nlm.nih.gov/articles/PMC12822942/,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0341118&type=printable,research/ref-paper/is1/pdfs/28_contrastive_learning_enhanced_retrieval_augmented_few_2026.pdf,01_evidence/C-tier/U028_contrastive_learning_enhanced_retrieval_augmented_few_shot_framework_for.pdf,01_evidence/literature/validated-digests/U028_contrastive_rag_fewshot_patent_classification_digest.md
U029,c2e600a8d73153f81716fceabe391739444a32cc156379dbe66e17f50d74b662,254838,is1,paper,CLEF-IP 2011: Retrieval in the Intellectual Property Domain,frozen_digest_verified_against_pdf,verified,0.8750,,,not_detected,,,not_detected,16,B,https://ceur-ws.org/Vol-1177/CLEF2011wn-CLEF-IP-PiroiEt2011.pdf,https://ceur-ws.org/Vol-1177/CLEF2011wn-CLEF-IP-PiroiEt2011.pdf,research/ref-paper/is1/pdfs/29_clef_ip_2011_retrieval_in_the_2011.pdf,01_evidence/B-tier/U029_clef_ip_2011_retrieval_in_the_intellectual_property_domain.pdf,01_evidence/literature/validated-digests/U029_clef_ip_2011_retrieval_digest.md
U030,43f35981d827f6c1118c11fc8f4aa97f964e40c8df223b8876f5d6550e5d0c07,1112195,is1,paper,CLEF-IP 2012: Retrieval Experiments in the Intellectual Property Domain,frozen_digest_verified_against_pdf,verified,0.8000,,,not_detected,,,not_detected,16,B,https://ceur-ws.org/Vol-1178/CLEF2012wn-CLEFIP-PiroiEt2012.pdf,https://ceur-ws.org/Vol-1178/CLEF2012wn-CLEFIP-PiroiEt2012.pdf,research/ref-paper/is1/pdfs/30_clef_ip_2012_retrieval_experiments_in_2012.pdf,01_evidence/B-tier/U030_clef_ip_2012_retrieval_experiments_in_the_intellectual_property_domain.pdf,01_evidence/literature/validated-digests/U030_clef_ip_2012_retrieval_digest.md
U031,801f9f44e5e6a3f97f63a9dc2e7f74650250ee68ca6a51a42ac81f0abb25394a,248923,is1,paper,Report on the CLEF-IP 2011 Experiments: Exploring Patent Summarization,frozen_digest_verified_against_pdf,verified,0.7000,,,not_detected,,,not_detected,10,B,https://ceur-ws.org/Vol-1177/CLEF2011wn-CLEF-IP-MahdabiEt2011.pdf,https://ceur-ws.org/Vol-1177/CLEF2011wn-CLEF-IP-MahdabiEt2011.pdf,research/ref-paper/is1/pdfs/31_report_on_clef_ip_2011_exploring_2011.pdf,01_evidence/B-tier/U031_report_on_the_clef_ip_2011_experiments_exploring_patent_summarization.pdf,01_evidence/literature/validated-digests/U031_clef_ip_2011_pattextiling_digest.md
U032,83e960fef77fcdbff639a21a425095f0f99b6620b48fa7a886170654d602915f,156335,is1,paper,A comparative analysis of embedding models for patent similarity,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2403.16630,acquisition_url,high,12,B,https://arxiv.org/abs/2403.16630,human-provided:2403.16630v1.pdf,research/ref-paper/is1/pdfs/32_a_comparative_analysis_of_embedding_models_2024.pdf,01_evidence/B-tier/U032_a_comparative_analysis_of_embedding_models_for_patent_similarity.pdf,01_evidence/literature/validated-digests/U032_embedding_models_patent_similarity_digest.md
U033,ee11448b455dc4fdac09e95d6f476472ef8ad067318715164e5e40e3d620aead,2987221,is1,paper,A survey on automated and AI-based tools for patent retrieval with a special focus on the life sciences domain,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.wpi.2026.102439,acquisition_url,high,,,not_detected,31,A,https://doi.org/10.1016/j.wpi.2026.102439,human-provided:1-s2.0-S0172219026000141-main.pdf,research/ref-paper/is1/pdfs/33_a_survey_on_automated_and_ai_2026.pdf,01_evidence/A-tier/U033_a_survey_on_automated_and_ai_based_tools_for_patent_retrieval_with_a_spe.pdf,01_evidence/literature/validated-digests/U033_survey_automated_ai_patent_retrieval_digest.md
U034,94b2ef789464ff2c35599f0cc8399d4710dc8697317fc068723f9841f1676f17,1023191,is1,paper,A Survey on Patent Analysis: From NLP to Multimodal AI,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,2404.08668,acquisition_url,high,17,A,https://arxiv.org/abs/2404.08668,https://arxiv.org/pdf/2404.08668,research/ref-paper/is1/pdfs/34_a_survey_on_patent_analysis_from_2024.pdf,01_evidence/A-tier/U034_a_survey_on_patent_analysis_from_nlp_to_multimodal_ai.pdf,01_evidence/literature/validated-digests/U034_survey_patent_analysis_nlp_multimodal_digest.md
U035,682da185b92b4d04f906de2a59f4b5152c1a1f15433cc7da812d1f522756c1bc,1214175,is1,paper,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,frozen_digest_verified_against_pdf,verified,0.8750,,,not_detected,,,not_detected,16,A,https://openreview.net/forum?id=wCu6T5xFjeJ,https://openreview.net/pdf?id=wCu6T5xFjeJ,research/ref-paper/is1/pdfs/36_beir_heterogeneous_benchmark_for_zero_shot_2021.pdf,01_evidence/A-tier/U035_beir_a_heterogeneous_benchmark_for_zero_shot_evaluation_of_information_r.pdf,01_evidence/literature/validated-digests/U035_beir_heterogeneous_benchmark_digest.md
U036,6840dc1ed45a2865c72748a1779ecc427178acc4ff1a7a713d93c94ee2b48bf2,746290,is1,paper,Towards Automated Patent Workflows: AI-Orchestrated Multi-Agent Framework for Intellectual Property Management and Analysis (PatExpert),frozen_digest_verified_against_pdf,verified,0.8571,,,not_detected,,,not_detected,16,C,https://openreview.net/pdf?id=3IDRKRxzPD,https://openreview.net/pdf?id=3IDRKRxzPD,research/ref-paper/is1/pdfs/37_patexpert_ai_orchestrated_multi_agent_patent_2024.pdf,01_evidence/C-tier/U036_towards_automated_patent_workflows_ai_orchestrated_multi_agent_framework.pdf,01_evidence/literature/validated-digests/U036_patexpert_multiagent_patent_digest.md
U037,62d6558f515ef6a62dfb3047f8d79262613c7f13503cdf74d048804e17a6de93,916038,is1,paper,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,frozen_digest_verified_against_pdf,verified,1.0000,,,not_detected,,,not_detected,20,A,https://aclanthology.org/2022.naacl-main.272/,https://aclanthology.org/2022.naacl-main.272.pdf,research/ref-paper/is1/pdfs/38_colbertv2_effective_and_efficient_retrieval_via_2022.pdf,01_evidence/A-tier/U037_colbertv2_effective_and_efficient_retrieval_via_lightweight_late_interac.pdf,01_evidence/literature/validated-digests/U037_colbertv2_late_interaction_digest.md
U038,ab0a43419308ca9b3b4400888c56daaa81b3c5b9e459af35da20bb10edb434f2,2757044,is1,paper,H-ProtoRAG: A hierarchical prototype-based retrieval-augmented framework for multilingual CPC patent classification and prior-art retrieval,frozen_digest_verified_against_pdf,verified,1.0000,10.1016/j.ipm.2026.104861,acquisition_url,high,,,not_detected,23,A,https://doi.org/10.1016/j.ipm.2026.104861,human-provided:1-s2.0-S0306457326002529-main.pdf,research/ref-paper/is1/pdfs/39_h_protorag_hierarchical_prototype_based_retrieval_2026.pdf,01_evidence/A-tier/U038_h_protorag_a_hierarchical_prototype_based_retrieval_augmented_framework.pdf,01_evidence/literature/validated-digests/U038_h_protorag_hierarchical_prototype_digest.md
U039,1a7441812abe43487ecc4b5995dc998c4d97aa3ed39ea9726e2dc263ef60b8c7,2282222,is1,paper,FullRecall: A Semantic Search-Based Ranking Approach for Maximizing Recall in Patent Retrieval,frozen_digest_verified_against_pdf,verified,0.9000,,,not_detected,2507.14946,acquisition_url,high,25,B,https://arxiv.org/abs/2507.14946,https://arxiv.org/pdf/2507.14946,research/ref-paper/is1/pdfs/40_full_recall_semantic_search_based_ranking_2025.pdf,01_evidence/B-tier/U039_fullrecall_a_semantic_search_based_ranking_approach_for_maximizing_recal.pdf,01_evidence/literature/validated-digests/U039_fullrecall_semantic_search_ranking_digest.md
U040,df93f5d3e50e9c77a91cca80d62dc5e7c3c5488b9756d9441f840e4d54b20796,1184030,is1,paper,Mining patents with large language models elucidates the chemical function landscape,frozen_digest_verified_against_pdf,verified,0.6250,10.1039/d4dd00011k,pdf_metadata,high,,,not_detected,10,C,https://pubs.rsc.org/en/content/articlehtml/2024/dd/d4dd00011k,https://pubs.rsc.org/en/content/articlepdf/2024/dd/d4dd00011k,research/ref-paper/is1/pdfs/41_mining_patents_with_llms_chemical_function_2024.pdf,01_evidence/C-tier/U040_mining_patents_with_large_language_models_elucidates_the_chemical_functi.pdf,01_evidence/literature/validated-digests/U040_mining_patents_llms_chemical_function_digest.md
U041,f8dd4d60bd2ad79324d33e337a86fd6495c7253046f3bd8e4af8548250a79d33,1052440,is1,paper,Natural Language Processing (NLP) tools for Pharmaceutical Manufacturing Information Extraction from Patents,acquisition_metadata_verified_in_pdf,verified,1.0000,,,not_detected,2504.20598,acquisition_url,high,11,C,https://arxiv.org/abs/2504.20598,human-provided:2504.20598v2.pdf,research/ref-paper/is1/pdfs/42_natural_language_processing_tools_for_pharmaceutical_2025.pdf,01_evidence/C-tier/U041_natural_language_processing_nlp_tools_for_pharmaceutical_manufacturing_i.pdf,01_evidence/literature/validated-digests/U041_natural_language_processing_nlp_tools_for_pharmaceutical_manufacturing_i_digest.md
U042,f902a1d9095819436505f85b44cac194ba3e86fc33a46ce02f83c0703e337b23,1475806,is1,paper,Toward Knowledge-Based System for African Traditional Herbal Medicine using NLP,acquisition_metadata_verified_in_pdf,verified_with_title_variation,0.8889,10.3389/frai.2022.856705/pdf,acquisition_url,high,,,not_detected,15,C,https://doi.org/10.3389/frai.2022.856705,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2022.856705/pdf,research/ref-paper/is1/pdfs/43_toward_knowledge_based_system_for_african_2022.pdf,01_evidence/C-tier/U042_toward_knowledge_based_system_for_african_traditional_herbal_medicine_us.pdf,01_evidence/literature/validated-digests/U042_toward_knowledge_based_system_for_african_traditional_herbal_medicine_us_digest.md
U043,aaad3977aa6a3958e671df44232586b1f3f9a7383631c0c5ecbb21c83e20d097,1396739,is1,paper,PatentSemTech 2024: Improving Patent Classification using AI-Generated Summaries,acquisition_metadata_verified_in_pdf,verified,1.0000,,,not_detected,,,not_detected,10,C,https://www.ifs.tuwien.ac.at/PatentSemTech/2024/,https://ceur-ws.org/Vol-3775/paper2.pdf,research/ref-paper/is1/pdfs/44_patentsemtech_2024_improving_patent_classification_using_2024.pdf,01_evidence/C-tier/U043_patentsemtech_2024_improving_patent_classification_using_ai_generated_su.pdf,01_evidence/literature/validated-digests/U043_patentsemtech_2024_improving_patent_classification_using_ai_generated_su_digest.md
