u_id,tier,reason,verified_title,sha256,digest_path
U011,A,Direct patent retrieval/search/embedding benchmark evidence,DAPFAM: A Domain-Aware Family-level Dataset to benchmark cross-domain patent retrieval,384dff3e3ac0fe6d2064572bb0322ef4b059c82fcbd703e680a3b524e7120c27,01_evidence/literature/validated-digests/U011_dapfam_digest.md
U012,A,Direct patent retrieval/search/embedding benchmark evidence,PatenTEB: A Comprehensive Benchmark and Model Family for Patent Text Embedding,528a290ea2e479ed72d377c0fb4d5e762feaf4c5a233dc62464dfc5c11358f85,01_evidence/literature/validated-digests/U012_patenteb_digest.md
U013,A,"Direct patent retrieval, ranking, or representation method",Patent Representation Learning via Self-supervision,39aacd435c9acc78a744b6e818b142e5ff76cd2ab40fedf8ac371da6891d3214,01_evidence/literature/validated-digests/U013_self_supervised_patent_representation_digest.md
U014,A,Direct patent retrieval/search/embedding benchmark evidence,Rethinking patent retrieval with language models: Toward scalable and efficient search,e0520c4384cf413c467ea8e62ba2113aa3cd06c4d737cc75c94c69307f1cc73e,01_evidence/literature/validated-digests/U014_rethinking_patent_retrieval_lms_digest.md
U015,A,Direct patent retrieval/search/embedding benchmark evidence,Patent Retrieval with Few-Shot Fine-Tuning and Quantized Embeddings,b557af2ad1743c17fe867108d2460f0158167637967be5c30b9dfdd9a480f19e,01_evidence/literature/validated-digests/U015_patent_retrieval_few_shot_finetuning_digest.md
U016,C,"Contextual domain, classification, extraction, model, survey, or systems background",BMRETRIEVER: Tuning Large Language Models as Better Biomedical Text Retrievers,8107e656437557c6e93e76a5de26cd06d7d47cc99e35032c23f857988e66ebca,01_evidence/literature/validated-digests/U016_bmretriever_biomedical_digest.md
U017,A,Direct patent search and drug-patent identification evidence,Needle in a haystack: Harnessing AI in drug patent searches and prediction,23afd72319f09b3b25f39ad58ad18f6f3a4fc54c3d68da44539cdf72d40e7028,01_evidence/literature/validated-digests/U017_needle_haystack_drug_patent_digest.md
U018,A,"Direct patent retrieval, ranking, or representation method",Enhancing Patent Retrieval using Text and Knowledge Graph Embeddings: A Technical Note,4b1023ef0c1e63256232782d5d72aa189133fd510bf282d21680ebfeb730b9cb,01_evidence/literature/validated-digests/U018_patent_retrieval_text_kg_embeddings_digest.md
U019,A,Direct patent retrieval/search/embedding benchmark evidence,PatentBERT: Patent Classification by Fine-Tuning BERT Language Model,12a08f0d9b1eb72a13d53bf6fa367e89dee8e55026e2269d3404095e87fde996,01_evidence/literature/validated-digests/U019_patentbert_classification_digest.md
U020,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Zero-shot Hybrid Retrieval and Reranking Models for Biomedical Literature,9bd2b1f5eea98637de9ff49bd810b49be774502bd9732bf2b74a0c27404a6458,01_evidence/literature/validated-digests/U020_zeroshot_hybrid_retrieval_rerank_digest.md
U021,A,Direct patent retrieval/search/embedding benchmark evidence,PatCID: an open-access dataset of chemical structures in patent documents,4e90f27e6d8b72449c3a96b219ddf5efd743db5f0879c25907f379648ddbe5a7,01_evidence/literature/validated-digests/U021_patcid_chemical_structure_database_digest.md
U022,A,Direct patent retrieval/search/embedding benchmark evidence,Enhancing patent retrieval using automated patent summarization,c309ccb34e8c36b529c40b702a622900ef2042f1a6e092e33b1defad8adb2ddb,01_evidence/literature/validated-digests/U022_patent_retrieval_summarization_digest.md
U023,A,Direct patent retrieval/search/embedding benchmark evidence,LLM-powered Real-time Patent Citation Recommendation for Financial Technologies,16fb7f9b2d7b8601931847b3d7683c4e4ab9f354d563014586e99b9eb933d768,01_evidence/literature/validated-digests/U023_llm_patent_citation_recommendation_digest.md
U024,A,"Direct patent retrieval, ranking, or representation method",EvoPat: A Multi-LLM-Based Patents Summarization and Analysis Agent,2594f2d877a4b65e08c6e2eb10612094ecff83a51a63696bc50a7e91b556c736,01_evidence/literature/validated-digests/U024_evopat_multi_llm_patent_summarization_digest.md
U025,A,Direct patent retrieval/search/embedding benchmark evidence,Deep learning for patent landscaping using transformer and graph embedding,7788735721a8d0516cbbfc46d59d5236e484e57e001511497db09b241e7ad540,01_evidence/literature/validated-digests/U025_patent_landscaping_transformer_graph_digest.md
U026,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",MedCPT: Contrastive Pre-trained Transformers with Large-scale PubMed Search Logs for Zero-shot Biomedical Information Retrieval,36375d5310c4ebee73a73453aba880a5babdedfe7ec2ca40c83ffed8f662b02f,01_evidence/literature/validated-digests/U026_medcpt_biomedical_ir_pubmed_logs_digest.md
U027,B,Transferable graph-transformer patent-search method without primary benchmark status,Efficient Patent Searching Using Graph Transformers,5924910b08d56a638904285d6ec44a2f2490c0704ed57bfd694e086863ef893e,01_evidence/literature/validated-digests/U027_graph_transformer_patent_search_digest.md
U028,C,Patent classification context rather than direct prior-art retrieval evidence,Contrastive learning enhanced retrieval-augmented few-shot framework for multi-label patent classification,db1eb5909cf96c601252d732e7b95bd57556c48e1f0c0288cf25a4fd267a138d,01_evidence/literature/validated-digests/U028_contrastive_rag_fewshot_patent_classification_digest.md
U029,B,Historical CLEF-IP retrieval context and evaluation protocol,CLEF-IP 2011: Retrieval in the Intellectual Property Domain,c2e600a8d73153f81716fceabe391739444a32cc156379dbe66e17f50d74b662,01_evidence/literature/validated-digests/U029_clef_ip_2011_retrieval_digest.md
U030,B,Historical CLEF-IP retrieval experiment context,CLEF-IP 2012: Retrieval Experiments in the Intellectual Property Domain,43f35981d827f6c1118c11fc8f4aa97f964e40c8df223b8876f5d6550e5d0c07,01_evidence/literature/validated-digests/U030_clef_ip_2012_retrieval_digest.md
U031,B,Historical CLEF-IP summarization and retrieval experiment context,Report on the CLEF-IP 2011 Experiments: Exploring Patent Summarization,801f9f44e5e6a3f97f63a9dc2e7f74650250ee68ca6a51a42ac81f0abb25394a,01_evidence/literature/validated-digests/U031_clef_ip_2011_pattextiling_digest.md
U032,B,Transferable patent-similarity embedding comparison,A comparative analysis of embedding models for patent similarity,83e960fef77fcdbff639a21a425095f0f99b6620b48fa7a886170654d602915f,01_evidence/literature/validated-digests/U032_embedding_models_patent_similarity_digest.md
U033,A,"Direct patent retrieval, ranking, or representation method",A survey on automated and AI-based tools for patent retrieval with a special focus on the life sciences domain,ee11448b455dc4fdac09e95d6f476472ef8ad067318715164e5e40e3d620aead,01_evidence/literature/validated-digests/U033_survey_automated_ai_patent_retrieval_digest.md
U034,A,"Direct patent retrieval, ranking, or representation method",A Survey on Patent Analysis: From NLP to Multimodal AI,94b2ef789464ff2c35599f0cc8399d4710dc8697317fc068723f9841f1676f17,01_evidence/literature/validated-digests/U034_survey_patent_analysis_nlp_multimodal_digest.md
U035,A,Primary heterogeneous retrieval benchmark used by active methods,BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,682da185b92b4d04f906de2a59f4b5152c1a1f15433cc7da812d1f522756c1bc,01_evidence/literature/validated-digests/U035_beir_heterogeneous_benchmark_digest.md
U036,C,Patent workflow and multi-agent systems context without direct retrieval evaluation,Towards Automated Patent Workflows: AI-Orchestrated Multi-Agent Framework for Intellectual Property Management and Analysis (PatExpert),6840dc1ed45a2865c72748a1779ecc427178acc4ff1a7a713d93c94ee2b48bf2,01_evidence/literature/validated-digests/U036_patexpert_multiagent_patent_digest.md
U037,A,Primary late-interaction retrieval method and benchmark baseline,ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,62d6558f515ef6a62dfb3047f8d79262613c7f13503cdf74d048804e17a6de93,01_evidence/literature/validated-digests/U037_colbertv2_late_interaction_digest.md
U038,A,"Direct patent retrieval, ranking, or representation method",H-ProtoRAG: A hierarchical prototype-based retrieval-augmented framework for multilingual CPC patent classification and prior-art retrieval,ab0a43419308ca9b3b4400888c56daaa81b3c5b9e459af35da20bb10edb434f2,01_evidence/literature/validated-digests/U038_h_protorag_hierarchical_prototype_digest.md
U039,B,Patent retrieval method with limited evaluation breadth,FullRecall: A Semantic Search-Based Ranking Approach for Maximizing Recall in Patent Retrieval,1a7441812abe43487ecc4b5995dc998c4d97aa3ed39ea9726e2dc263ef60b8c7,01_evidence/literature/validated-digests/U039_fullrecall_semantic_search_ranking_digest.md
U040,C,"Contextual domain, classification, extraction, model, survey, or systems background",Mining patents with large language models elucidates the chemical function landscape,df93f5d3e50e9c77a91cca80d62dc5e7c3c5488b9756d9441f840e4d54b20796,01_evidence/literature/validated-digests/U040_mining_patents_llms_chemical_function_digest.md
U041,C,"Contextual domain, classification, extraction, model, survey, or systems background",Natural Language Processing (NLP) tools for Pharmaceutical Manufacturing Information Extraction from Patents,f8dd4d60bd2ad79324d33e337a86fd6495c7253046f3bd8e4af8548250a79d33,01_evidence/literature/validated-digests/U041_natural_language_processing_nlp_tools_for_pharmaceutical_manufacturing_i_digest.md
U042,C,"Contextual domain, classification, extraction, model, survey, or systems background",Toward Knowledge-Based System for African Traditional Herbal Medicine using NLP,f902a1d9095819436505f85b44cac194ba3e86fc33a46ce02f83c0703e337b23,01_evidence/literature/validated-digests/U042_toward_knowledge_based_system_for_african_traditional_herbal_medicine_us_digest.md
U043,C,"Contextual domain, classification, extraction, model, survey, or systems background",PatentSemTech 2024: Improving Patent Classification using AI-Generated Summaries,aaad3977aa6a3958e671df44232586b1f3f9a7383631c0c5ecbb21c83e20d097,01_evidence/literature/validated-digests/U043_patentsemtech_2024_improving_patent_classification_using_ai_generated_su_digest.md
U044,A,Direct patent retrieval/search/embedding benchmark evidence,ChatGPT vs. Google Gemini: Assessing AI Frontiers for Patent Prior Art Search Using European Search Reports,aae47b8271fe2b0660f8a3621393333c13b05851f15e959e000c58839b9e7ab2,01_evidence/literature/validated-digests/U044_chatgpt_vs_google_gemini_assessing_ai_frontiers_for_patent_prior_art_sea_digest.md
U045,A,Direct patent retrieval/search/embedding benchmark evidence,Intermediate Domain Alignment for Patent-Product Image Retrieval (IDAMA),90dc3724e0dac7a5b645eae0a52151ad50897db53343f7a48c1645b6a32a5d1b,01_evidence/literature/validated-digests/U045_intermediate_domain_alignment_for_patent_product_image_retrieval_idama_digest.md
U046,A,Direct patent retrieval/search/embedding benchmark evidence,Large Language Model Informed Patent Image Retrieval (Multimodal Distribution-Aware),b405a9444717795e2791767f438f56d938a3bd98ddaf3e593ea37a5f01e11cab,01_evidence/literature/validated-digests/U046_large_language_model_informed_patent_image_retrieval_multimodal_distribu_digest.md
U047,A,"Direct patent retrieval, ranking, or representation method",Prior Art Retrieval using Patent Sections (CLEF-IP 2010 – Dhondt et al.),41c973d35288702ee572061d7d35bfbd55e5267fa76ab03c7bf7790be81c9d9d,01_evidence/literature/validated-digests/U047_prior_art_retrieval_using_patent_sections_clef_ip_2010_dhondt_et_al_digest.md
U048,A,Direct patent retrieval/search/embedding benchmark evidence,Hierarchical Multi-Positive Contrastive Learning for Patent Image Retrieval (DeepPatent2),1248bb844e415db2dfb029ec429218606183427460f0acef864313a090c3017c,01_evidence/literature/validated-digests/U048_hierarchical_multi_positive_contrastive_learning_for_patent_image_retrie_digest.md
U049,A,Direct patent retrieval/search/embedding benchmark evidence,Citation-Driven Multi-View Training for Patent Embeddings: QaECTER and Sophia-Bench,b9a6db6b10c10439cc5f5119f3e6c0e8a44f41c250d6e9125ccd3f6c00c472c3,01_evidence/literature/validated-digests/U049_citation_driven_multi_view_training_for_patent_embeddings_qaecter_and_so_digest.md
U050,A,Direct patent retrieval/search/embedding benchmark evidence,Patent Language Model Pretraining with ModernBERT,9e0b48fff3b045e80795ba00d2cb3ee64c383c53348e523bbd9d1b0b2d85a677,01_evidence/literature/validated-digests/U050_patent_language_model_pretraining_with_modernbert_digest.md
U051,A,Direct patent retrieval/search/embedding benchmark evidence,Towards efficient patent analysis: A large language model and BERT-refined methodology for keyphrase extraction,e669433386ebff350d54575f710889cb090f5077a406c623bff98d0b8e23b56d,01_evidence/literature/validated-digests/U051_towards_efficient_patent_analysis_a_large_language_model_and_bert_refine_digest.md
U052,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Standard Applicability Judgment and Cross-jurisdictional Reasoning: A RAG-based Framework for Medical Device Compliance,ddac13574791a286a2685fe68b41c207638c376201a54e9598e73068fd3978ee,01_evidence/literature/validated-digests/U052_standard_applicability_judgment_and_cross_jurisdictional_reasoning_a_rag_digest.md
U053,A,Direct patent retrieval/search/embedding benchmark evidence,"Intelligent Chinese patent medicine (CPM) recommendation framework: Integrating large language models, retrieval-augmented generation, and the largest CPM dataset",a35442c3b311139c4bd1ece09792336fcaefb7eb7b5a18de494e89c85a75b299,01_evidence/literature/validated-digests/U053_intelligent_chinese_patent_medicine_cpm_recommendation_framework_integra_digest.md
U054,A,"Direct patent retrieval, ranking, or representation method",Research on the Global Patent Trend of Artificial Intelligence Medical Device,9080ed18d345d167e99004dc20123932658dbf4a493ccfacc41a0e17ddfe8ed2,01_evidence/literature/validated-digests/U054_research_on_the_global_patent_trend_of_artificial_intelligence_medical_d_digest.md
U055,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,ea18b753e00420d66f1a26c6d2b372f6dc542a695d6206a383b8fe2f379c60a8,01_evidence/literature/validated-digests/U055_improving_retrieval_augmented_generation_in_medicine_with_iterative_foll_digest.md
U056,A,Direct patent retrieval/search/embedding benchmark evidence,An automatic patent literature retrieval system based on LLM-RAG,1343ea48ad7ad8af9f63083701376d1c16aa4c058d261a6e52dc5b9f3455695f,01_evidence/literature/validated-digests/U056_an_automatic_patent_literature_retrieval_system_based_on_llm_rag_digest.md
U057,A,Direct patent retrieval/search/embedding benchmark evidence,PAI-NET: Retrieval Augmented Generation Patent Network using Prior Art Information,0187f3cc3d5288c16a3b1a741202094646a734ff98e4d4dbe3eb4c49253f1282,01_evidence/literature/validated-digests/U057_pai_net_retrieval_augmented_generation_patent_network_using_prior_art_in_digest.md
U058,A,Direct HarnessOpt/skill/prompt optimization method evidence,GEPA: Reflective Prompt Evolution Can Outperform Reinforcement Learning,ab3a5139bac83f192ad67529368d77b84b0d807e95a8e4fd0daa8d45fd046bec,01_evidence/literature/validated-digests/U058_gepa_reflective_prompt_evolution_can_outperform_reinforcement_learning_digest.md
U059,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents,3a2ca388b4a2fb17e58551f1a77b2c7decbbf6767255382cfa2d9e435c7a7e70,01_evidence/literature/validated-digests/U059_is_chatgpt_good_at_search_investigating_large_language_models_as_re_rank_digest.md
U060,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",RankZephyr: Effective and Robust Zero-Shot Listwise Reranking is a Breeze!,aa198a0df997f39ecd064670ed17f62b22fc567502890832ba1206de99be464b,01_evidence/literature/validated-digests/U060_rankzephyr_effective_and_robust_zero_shot_listwise_reranking_is_a_breeze_digest.md
U061,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",FIRST faster listwise reranking with single token decoding,fca02e77ff691f6de93cc21bfd5dfc56ea925b73c25f3e8dee50a1b67df67296,01_evidence/literature/validated-digests/U061_first_faster_listwise_reranking_with_single_token_decoding_digest.md
U062,C,"Contextual domain, classification, extraction, model, survey, or systems background",Rank-DistiLLM cross-encoder distillation,4c8ff39e0748759e036f89ddf2549f1ed160c38964b832133ac56685450bd563,01_evidence/literature/validated-digests/U062_rank_distillm_cross_encoder_distillation_digest.md
U063,B,Transferable open-source listwise reranking method,Rank-without-GPT: Building GPT-Independent Listwise Rerankers on Open-Source Large Language Models,9edc0971af4f8fb32f06604ce95da556d36bdc1074a04801e0a6748ee292d304,01_evidence/literature/validated-digests/U063_rank_without_gpt_building_gpt_independent_listwise_rerankers_on_open_sou_digest.md
U064,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Guiding Retrieval with LLM Listwise Rankers,8defa5deb51e7f0adaa7d7fee920c47671e5f88163ff6513616f91b2deaf59a9,01_evidence/literature/validated-digests/U064_guiding_retrieval_with_llm_listwise_rankers_digest.md
U065,C,"Contextual domain, classification, extraction, model, survey, or systems background",APE Automatic Prompt Engineer,b4162f38101db7511e6292a2577c66514c757824ddd21f8426a6276485355e81,01_evidence/literature/validated-digests/U065_ape_automatic_prompt_engineer_digest.md
U066,A,Direct HarnessOpt/skill/prompt optimization method evidence,TextGrad automatic differentiation via text,9cbfd5c78ad69e2a8363e76d6774f3e6b5e68f46b409d8b560e98276a985b428,01_evidence/literature/validated-digests/U066_textgrad_automatic_differentiation_via_text_digest.md
U067,A,Direct HarnessOpt/skill/prompt optimization method evidence,Prompt Optimization is a Coin Flip,726bf5b639910e69991fe4d9ded654cca700ebbe40f79d37b10eed71ee6a3638,01_evidence/literature/validated-digests/U067_prompt_optimization_is_a_coin_flip_digest.md
U068,A,Direct HarnessOpt/skill/prompt optimization method evidence,RAPO Retrieval-Augmented Prompt Optimization,2c1012c9aa8414a92ac0bbfff8c8b53dd6f19d89654e0e32cdc344919456b095,01_evidence/literature/validated-digests/U068_rapo_retrieval_augmented_prompt_optimization_digest.md
U069,A,"Direct patent retrieval, ranking, or representation method",A novel re-ranking architecture for patent search,5f627c6cf8423df37ad306c1c0de4ec4790a1a9fbf073f019c1adbaa3205ef97,01_evidence/literature/validated-digests/U069_a_novel_re_ranking_architecture_for_patent_search_digest.md
U070,C,"Contextual domain, classification, extraction, model, survey, or systems background",POSIX: A Prompt Sensitivity Index For Large Language Models,5d0729622cd43ff6044f672aff054f231d35b87aed3ca3d6caa6a88af00e0170,01_evidence/literature/validated-digests/U070_posix_a_prompt_sensitivity_index_for_large_language_models_digest.md
U071,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",OPTIMAS: Optimizing Compound AI Systems with Globally Aligned Local Rewards,2cb380e7918e990a19a32f9b6adcba46d8b2ba98987c2844edfba6e11e9fc744,01_evidence/literature/validated-digests/U071_optimas_optimizing_compound_ai_systems_with_globally_aligned_local_rewar_digest.md
U072,C,"Contextual domain, classification, extraction, model, survey, or systems background",Compound AI Systems Optimization: A Survey of Methods Challenges and Future Directions,a75c328d98903847e4cf199a5a0a1abfdb895031d5024532bcdb279d22696310,01_evidence/literature/validated-digests/U072_compound_ai_systems_optimization_a_survey_of_methods_challenges_and_futu_digest.md
U073,C,"Contextual domain, classification, extraction, model, survey, or systems background",DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,5309836325c3a580b6c176242f49f21ca40e413b0acd514e74b67e16bb1b56bc,01_evidence/literature/validated-digests/U073_dspy_compiling_declarative_language_model_calls_into_self_improving_pipe_digest.md
U074,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,c69aa191d8363c25b36685db4adb7e6980e55ee39892fd3626206c16e1e0efa1,01_evidence/literature/validated-digests/U074_a_gentle_introduction_to_conformal_prediction_and_distribution_free_unce_digest.md
U075,B,Foundational conformal prediction and online learning background,Algorithmic Learning in a Random World,e6d0a764d05784804733bad0c1a98e2e4bb01c693e335ddd3256c45497f30b42,01_evidence/literature/validated-digests/U075_algorithmic_learning_in_a_random_world_digest.md
U076,A,Direct HarnessOpt/skill/prompt optimization method evidence,CAPO: Cost-Aware Prompt Optimization,b124700f3361363d403810179a3723cc1c5c821eb588dbfc2cadcc04bad3ee43,01_evidence/literature/validated-digests/U076_capo_cost_aware_prompt_optimization_digest.md
U077,A,"Direct patent retrieval, ranking, or representation method",Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,6779b63130422fd24eec0ee11f67bcf1ac17af3441a0fbdef530110bddb901a9,01_evidence/literature/validated-digests/U077_is_it_novel_and_why_fine_grained_patent_novelty_prediction_based_on_pass_digest.md
U078,A,Direct patent retrieval/search/embedding benchmark evidence,"Benchmarking Patent Embeddings: A Multi-Task Evaluation of 22 Models Across Retrieval, Classification, and Clustering",56c79ca3d9a04caef120a409c9bdf2f644dbe3170e824fd01f51ec6449ff9205,01_evidence/literature/validated-digests/U078_benchmarking_patent_embeddings_a_multi_task_evaluation_of_22_models_acro_digest.md
U079,C,"Contextual domain, classification, extraction, model, survey, or systems background",PEEM: Prompt Engineering Evaluation Metrics for Interpretable Joint Evaluation of Prompts and Responses,36b5fe5554b131a2c80319efe7346aa3ceb9485f875b3cf2de9d5b0a709bf9a5,01_evidence/literature/validated-digests/U079_peem_prompt_engineering_evaluation_metrics_for_interpretable_joint_evalu_digest.md
U080,A,Direct HarnessOpt/skill/prompt optimization method evidence,AIPO: Automatic Instruction Prompt Optimization by Model Itself with Gradient Ascent,f2effc69f23b6f80bbd48f377ab8a120204fc2a6748a6238585ff17c0e6174d8,01_evidence/literature/validated-digests/U080_aipo_automatic_instruction_prompt_optimization_by_model_itself_with_grad_digest.md
U081,C,"Contextual domain, classification, extraction, model, survey, or systems background",ResearchRubrics: A Benchmark of Prompts and Rubrics for Evaluating Deep Research Agents,8c2da4367453de7b13d4ef9c30ac3446b40abee8e5124699a0f5e8700380f223,01_evidence/literature/validated-digests/U081_researchrubrics_a_benchmark_of_prompts_and_rubrics_for_evaluating_deep_r_digest.md
U082,A,Direct HarnessOpt/skill/prompt optimization method evidence,SkillOpt: Executive Strategy for Self-Evolving Agent Skills,87f7f0f323b1671e9202b3ebb1596e909e507c71ecd1b360b0075a5ee1727fe3,01_evidence/literature/validated-digests/U082_skillopt_executive_strategy_for_self_evolving_agent_skills_digest.md
U083,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",BEIR: A Heterogeneous Benchmark for Zero-shot Evaluation of Information Retrieval Models,1925755aeb627123d1a63c66f02e5aa2432f7e92751a02bea7c8c3b6bbb6ec33,01_evidence/literature/validated-digests/U083_beir_a_heterogeneous_benchmark_for_zero_shot_evaluation_of_information_r_digest.md
U084,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",ColBERTv2: Effective and Efficient Retrieval via Lightweight Late Interaction,46e0a2712eabf9e0b9486120356a2110f65516fa7e0d75c35e9ee3eef9ea78c0,01_evidence/literature/validated-digests/U084_colbertv2_effective_and_efficient_retrieval_via_lightweight_late_interac_digest.md
U085,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Precise Zero-Shot Dense Retrieval without Relevance Labels (HyDE),dc0ae3c5584ed146beee122e6a9ad9c48547dde048d53e9be8435d8f1d354531,01_evidence/literature/validated-digests/U085_precise_zero_shot_dense_retrieval_without_relevance_labels_hyde_digest.md
U086,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method","M3-Embedding: Multi-Linguality, Multi-Functionality, Multi-Granularity Text Embeddings (BGE-M3)",eb38e53565da260dc1f3d49708f45441936447a7f3c7d7ef025ff62ea3e1e575,01_evidence/literature/validated-digests/U086_m3_embedding_multi_linguality_multi_functionality_multi_granularity_text_digest.md
U087,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Query Rewriting for Retrieval-Augmented Large Language Models,483472d9ccc633fe649a87f2224a09c717fcfe052c2914c50f8abce5f34dca84,01_evidence/literature/validated-digests/U087_query_rewriting_for_retrieval_augmented_large_language_models_digest.md
U088,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Reciprocal Rank Fusion Based Hybrid Dense–Sparse Information Retrieval (RRF Hybrid),f6f481e31beca9961600dbd96381d574bcc9716d133b78fe41b665748f4733bc,01_evidence/literature/validated-digests/U088_reciprocal_rank_fusion_based_hybrid_dense_sparse_information_retrieval_r_digest.md
U089,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",NV-Embed: Improved Techniques for Training LLMs as Generalist Embedding Models,54b7f1f28a36dfeed20d7524fca57903c7af4f438c63ae5615aa0b1881c4384a,01_evidence/literature/validated-digests/U089_nv_embed_improved_techniques_for_training_llms_as_generalist_embedding_m_digest.md
U090,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",Jina-ColBERT-v2: A General-Purpose Multilingual Late Interaction Retriever,7fa81da5d8f69f68e0ead2a96cc5807cd78c0aaac8a1f19778ca27525c16ff47,01_evidence/literature/validated-digests/U090_jina_colbert_v2_a_general_purpose_multilingual_late_interaction_retrieve_digest.md
U091,C,Contextual hierarchical retrieval background; retained at the existing tier,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,01319e2e6e6ecfd504ee1bbda41d023f9e060bd3505ab3c161baa1d6d696cf75,01_evidence/literature/validated-digests/U091_raptor_recursive_abstractive_processing_for_tree_organized_retrieval_digest.md
U092,B,"Transferable retrieval, RAG, evaluation, uncertainty, or knowledge-graph method",From Local to Global: A GraphRAG Approach to Query-Focused Summarization,730f1a9f38d16689900969a3eeeb1b31e45eda1dcc1f37a043afa90aff76c867,01_evidence/literature/validated-digests/U092_from_local_to_global_a_graphrag_approach_to_query_focused_summarization_digest.md
